instance_family,instance,path,node_count,salesman_count,solver,objective,time_seconds,valid,best_baseline_solver,best_baseline_objective,best_baseline_time_seconds,best_baseline_valid,best_baseline_status,objective_gap,relative_gap_percent
clustered-center,clustered-center_n1000_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n1000_m3_r01.txt,1000,3,rand+nn,6799.669318065871,0.001523,True,tsp-transform-lkh,3335.625776,1.226521,True,ok,3464.043542,103.849885
clustered-center,clustered-center_n1000_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n1000_m3_r01.txt,1000,3,2opt+greed,3955.030827669042,0.015367,True,tsp-transform-lkh,3335.625776,1.226521,True,ok,619.405052,18.569381
clustered-center,clustered-center_n1000_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n1000_m3_r01.txt,1000,3,lkh-wrapper-v2,3214.8019864188013,2.544988,True,tsp-transform-lkh,3335.625776,1.226521,True,ok,-120.82379,-3.622223
clustered-center,clustered-center_n1000_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n1000_m3_r01.txt,1000,3,lkh-wrapper-v3,3227.650724066557,0.739601,True,tsp-transform-lkh,3335.625776,1.226521,True,ok,-107.975052,-3.237025
clustered-center,clustered-center_n1000_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n1000_m5_r01.txt,1000,5,rand+nn,9511.206079541336,0.002661,True,ortools-gls,3472.404292,5.00174,True,ok,6038.801788,173.908372
clustered-center,clustered-center_n1000_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n1000_m5_r01.txt,1000,5,2opt+greed,5026.595117463842,0.012,True,ortools-gls,3472.404292,5.00174,True,ok,1554.190825,44.758349
clustered-center,clustered-center_n1000_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n1000_m5_r01.txt,1000,5,lkh-wrapper-v2,3307.8276140688718,3.068282,True,ortools-gls,3472.404292,5.00174,True,ok,-164.576678,-4.73956
clustered-center,clustered-center_n1000_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n1000_m5_r01.txt,1000,5,lkh-wrapper-v3,3314.0173933695723,0.234575,True,ortools-gls,3472.404292,5.00174,True,ok,-158.386899,-4.561304
clustered-center,clustered-center_n1000_m7_r01.txt,data\mtsp\generated_multifamily\clustered-center_n1000_m7_r01.txt,1000,7,rand+nn,11775.341895928283,0.000866,True,ortools-gls,3398.734214,5.0025,True,ok,8376.607682,246.46257
clustered-center,clustered-center_n1000_m7_r01.txt,data\mtsp\generated_multifamily\clustered-center_n1000_m7_r01.txt,1000,7,2opt+greed,5755.324768224316,0.007238,True,ortools-gls,3398.734214,5.0025,True,ok,2356.590554,69.3373
clustered-center,clustered-center_n1000_m7_r01.txt,data\mtsp\generated_multifamily\clustered-center_n1000_m7_r01.txt,1000,7,lkh-wrapper-v2,3503.177318164143,10.641077,True,ortools-gls,3398.734214,5.0025,True,ok,104.443104,3.073
clustered-center,clustered-center_n1000_m7_r01.txt,data\mtsp\generated_multifamily\clustered-center_n1000_m7_r01.txt,1000,7,lkh-wrapper-v3,3318.582621282451,0.251277,True,ortools-gls,3398.734214,5.0025,True,ok,-80.151593,-2.358278
clustered-center,clustered-center_n100_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n100_m2_r01.txt,100,2,rand+nn,391.83993847606064,4.5e-05,True,ortools-gls,235.176596,5.000621,True,ok,156.663342,66.615192
clustered-center,clustered-center_n100_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n100_m2_r01.txt,100,2,2opt+greed,354.9756239370395,0.000202,True,ortools-gls,235.176596,5.000621,True,ok,119.799028,50.94003
