instance_family,node_count,salesman_count,solver,runs,valid_runs,best_baseline_valid_runs,avg_objective,avg_time_seconds,avg_best_baseline_objective,avg_best_baseline_time_seconds,avg_objective_gap,avg_relative_gap_percent,better_than_best_baseline_runs
uniform,20,2,2opt+greed,1,1,1,57.563579,2.3e-05,41.100265,5.000185,16.463314,40.056467,0
uniform,20,2,lkh-wrapper-v2,1,1,1,47.054747,0.000468,41.100265,5.000185,5.954482,14.487697,0
uniform,20,2,lkh-wrapper-v3,1,1,1,47.054747,0.000392,41.100265,5.000185,5.954482,14.487697,0
uniform,20,2,rand+nn,1,1,1,71.766424,2.1e-05,41.100265,5.000185,30.666159,74.613044,0
uniform,20,3,2opt+greed,1,1,1,62.572758,2.2e-05,44.86439,5.00047,17.708368,39.470877,0
uniform,20,3,lkh-wrapper-v2,1,1,1,53.930383,0.000368,44.86439,5.00047,9.065993,20.207548,0
uniform,20,3,lkh-wrapper-v3,1,1,1,53.930383,0.000333,44.86439,5.00047,9.065993,20.207548,0
uniform,20,3,rand+nn,1,1,1,89.467867,3.1e-05,44.86439,5.00047,44.603477,99.418441,0
uniform,20,5,2opt+greed,1,1,1,92.317096,2.5e-05,36.828012,5.000568,55.489084,150.670864,0
uniform,20,5,lkh-wrapper-v2,1,1,1,44.693508,0.000789,36.828012,5.000568,7.865496,21.357373,0
uniform,20,5,lkh-wrapper-v3,1,1,1,50.822059,0.000964,36.828012,5.000568,13.994047,37.998377,0
uniform,20,5,rand+nn,1,1,1,101.679573,2.3e-05,36.828012,5.000568,64.851561,176.093027,0
uniform,50,2,2opt+greed,1,1,1,181.328248,5.9e-05,150.011739,0.042165,31.316509,20.876039,0
uniform,50,2,lkh-wrapper-v2,1,1,1,171.612879,0.004478,150.011739,0.042165,21.60114,14.399633,0
uniform,50,2,lkh-wrapper-v3,1,1,1,167.677795,0.00552,150.011739,0.042165,17.666056,11.776449,0
uniform,50,2,rand+nn,1,1,1,224.914817,3.1e-05,150.011739,0.042165,74.903078,49.931478,0
uniform,50,3,2opt+greed,1,1,1,198.260312,5.7e-05,144.432357,5.000656,53.827955,37.268626,0
uniform,50,3,lkh-wrapper-v2,1,1,1,160.114651,0.002054,144.432357,5.000656,15.682294,10.857881,0
uniform,50,3,lkh-wrapper-v3,1,1,1,163.085561,0.001883,144.432357,5.000656,18.653204,12.914837,0
uniform,50,3,rand+nn,1,1,1,288.290248,2.8e-05,144.432357,5.000656,143.857891,99.602259,0
uniform,50,5,2opt+greed,1,1,1,242.845041,4.9e-05,154.076264,5.000759,88.768777,57.613532,0
