instance_family,node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,avg_step_time_seconds,valid_runs
uniform,20,2,2opt+greed,10,484.957939,0.000235,0.000229,10
uniform,20,2,grasp,10,405.591497,0.004228,0.004221,10
uniform,20,2,lkh-wrapper,10,449.109137,0.000484,0.000478,10
uniform,20,2,lkh-wrapper-v1,10,449.109137,0.000456,0.00045,10
uniform,20,2,lkh-wrapper-v2,10,410.757168,0.000721,0.000715,10
uniform,20,2,lkh-wrapper-v3,10,410.560949,0.000682,0.000674,10
uniform,20,2,rand+nn,10,616.920139,0.000256,0.000249,10
uniform,20,3,2opt+greed,10,570.803406,0.000277,0.000271,10
uniform,20,3,grasp,10,470.6298,0.004059,0.004053,10
uniform,20,3,lkh-wrapper,10,509.355975,0.000329,0.000322,10
uniform,20,3,lkh-wrapper-v1,10,509.355975,0.000312,0.000306,10
uniform,20,3,lkh-wrapper-v2,10,463.410655,0.000657,0.000651,10
uniform,20,3,lkh-wrapper-v3,10,461.947402,0.000827,0.000819,10
uniform,20,3,rand+nn,10,757.719122,0.000509,0.000502,10
uniform,20,5,2opt+greed,10,819.572023,0.00023,0.000223,10
uniform,20,5,grasp,10,613.46977,0.005453,0.005447,10
uniform,20,5,lkh-wrapper,10,652.414656,0.000389,0.000383,10
uniform,20,5,lkh-wrapper-v1,10,652.414656,0.000376,0.00037,10
uniform,20,5,lkh-wrapper-v2,10,519.095984,0.00069,0.000684,10
uniform,20,5,lkh-wrapper-v3,10,515.812496,0.000656,0.000649,10
uniform,20,5,rand+nn,10,1016.190575,0.000293,0.000286,10
uniform,50,2,2opt+greed,10,736.455674,0.000382,0.000375,10
uniform,50,2,grasp,10,622.408181,0.042585,0.042573,10
uniform,50,2,lkh-wrapper,10,664.584501,0.003111,0.003103,10
uniform,50,2,lkh-wrapper-v1,10,664.584501,0.003155,0.003147,10
uniform,50,2,lkh-wrapper-v2,10,630.928453,0.002667,0.002656,10
uniform,50,2,lkh-wrapper-v3,10,630.2354,0.00197,0.001962,10
uniform,50,2,rand+nn,10,982.556101,0.000338,0.00033,10
uniform,50,3,2opt+greed,10,812.057199,0.000377,0.000369,10
uniform,50,3,grasp,10,672.44794,0.059392,0.05938,10
uniform,50,3,lkh-wrapper,10,713.023853,0.00255,0.002541,10
uniform,50,3,lkh-wrapper-v1,10,713.023853,0.002651,0.002642,10
uniform,50,3,lkh-wrapper-v2,10,666.325144,0.002763,0.002753,10
uniform,50,3,lkh-wrapper-v3,10,671.485662,0.002176,0.002168,10
uniform,50,3,rand+nn,10,1240.074712,0.000324,0.000317,10
uniform,50,5,2opt+greed,10,1105.531369,0.000388,0.000381,10
uniform,50,5,grasp,10,812.929237,0.082598,0.082583,10
uniform,50,5,lkh-wrapper,10,950.142333,0.002597,0.002584,10
uniform,50,5,lkh-wrapper-v1,10,950.142333,0.002545,0.002537,10
uniform,50,5,lkh-wrapper-v2,10,725.431846,0.002687,0.002679,10
uniform,50,5,lkh-wrapper-v3,10,728.310124,0.001869,0.001861,10
uniform,50,5,rand+nn,10,1623.602636,0.000331,0.000324,10
uniform,100,2,2opt+greed,10,953.271029,0.000786,0.000777,10
uniform,100,2,grasp,10,851.164041,0.305051,0.305038,10
uniform,100,2,lkh-wrapper,10,874.246837,0.013711,0.013697,10
uniform,100,2,lkh-wrapper-v1,10,874.246837,0.013211,0.013197,10
