instance_family,node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,reference_solver,avg_reference_objective,avg_reference_time_seconds,avg_objective_gap,avg_relative_gap_percent,valid_runs,reference_valid_runs,better_than_reference_runs
uniform,20,2,2opt+greed,10,484.957939,0.000269,ortools-gls,365.718201,5.000524,119.239738,32.503125,10,10,0
uniform,20,2,grasp,10,405.591497,0.004305,ortools-gls,365.718201,5.000524,39.873296,11.020028,10,10,0
uniform,20,2,lkh-wrapper,10,449.109137,0.000516,ortools-gls,365.718201,5.000524,83.390936,23.081994,10,10,0
uniform,20,2,lkh-wrapper-v1,10,449.109137,0.000496,ortools-gls,365.718201,5.000524,83.390936,23.081994,10,10,0
uniform,20,2,lkh-wrapper-v2,10,410.757168,0.000721,ortools-gls,365.718201,5.000524,45.038967,12.176091,10,10,0
uniform,20,2,lkh-wrapper-v3,10,410.560949,0.000636,ortools-gls,365.718201,5.000524,44.842748,12.128732,10,10,0
uniform,20,2,rand+nn,10,616.920139,0.00028,ortools-gls,365.718201,5.000524,251.201938,68.696203,10,10,0
uniform,20,3,2opt+greed,10,570.803406,0.000232,ortools-gls,378.998311,5.001058,191.805095,50.974793,10,10,0
uniform,20,3,grasp,10,470.6298,0.004363,ortools-gls,378.998311,5.001058,91.631489,24.392136,10,10,0
uniform,20,3,lkh-wrapper,10,509.355975,0.00035,ortools-gls,378.998311,5.001058,130.357664,34.458318,10,10,0
uniform,20,3,lkh-wrapper-v1,10,509.355975,0.000338,ortools-gls,378.998311,5.001058,130.357664,34.458318,10,10,0
uniform,20,3,lkh-wrapper-v2,10,463.410655,0.000685,ortools-gls,378.998311,5.001058,84.412344,22.107154,10,10,0
uniform,20,3,lkh-wrapper-v3,10,461.947402,0.000584,ortools-gls,378.998311,5.001058,82.949091,21.707776,10,10,0
uniform,20,3,rand+nn,10,757.719122,0.000238,ortools-gls,378.998311,5.001058,378.720811,100.346345,10,10,0
uniform,20,5,2opt+greed,10,819.572023,0.000231,ortools-gls,401.735001,5.00052,417.837023,104.687124,10,10,0
uniform,20,5,grasp,10,613.46977,0.005524,ortools-gls,401.735001,5.00052,211.73477,52.928651,10,10,0
uniform,20,5,lkh-wrapper,10,652.414656,0.000373,ortools-gls,401.735001,5.00052,250.679656,62.459683,10,10,0
uniform,20,5,lkh-wrapper-v1,10,652.414656,0.000328,ortools-gls,401.735001,5.00052,250.679656,62.459683,10,10,0
uniform,20,5,lkh-wrapper-v2,10,519.095984,0.000642,ortools-gls,401.735001,5.00052,117.360983,29.366649,10,10,0
uniform,20,5,lkh-wrapper-v3,10,515.812496,0.000569,ortools-gls,401.735001,5.00052,114.077496,28.584711,10,10,0
uniform,20,5,rand+nn,10,1016.190575,0.000241,ortools-gls,401.735001,5.00052,614.455574,153.339625,10,10,0
uniform,50,2,2opt+greed,10,736.455674,0.000376,ortools-gls,577.569335,5.000956,158.886338,27.863567,10,10,0
uniform,50,2,grasp,10,622.408181,0.044067,ortools-gls,577.569335,5.000956,44.838845,7.845792,10,10,0
uniform,50,2,lkh-wrapper,10,664.584501,0.003333,ortools-gls,577.569335,5.000956,87.015166,15.302939,10,10,0
uniform,50,2,lkh-wrapper-v1,10,664.584501,0.003079,ortools-gls,577.569335,5.000956,87.015166,15.302939,10,10,0
uniform,50,2,lkh-wrapper-v2,10,630.928453,0.002402,ortools-gls,577.569335,5.000956,53.359118,9.325731,10,10,0
uniform,50,2,lkh-wrapper-v3,10,630.2354,0.001981,ortools-gls,577.569335,5.000956,52.666064,9.220993,10,10,0
uniform,50,2,rand+nn,10,982.556101,0.000349,ortools-gls,577.569335,5.000956,404.986765,70.276147,10,10,0
uniform,50,3,2opt+greed,10,812.057199,0.000331,ortools-gls,579.231547,5.000724,232.825653,40.096576,10,10,0
uniform,50,3,grasp,10,672.44794,0.067888,ortools-gls,579.231547,5.000724,93.216394,16.071755,10,10,0
uniform,50,3,lkh-wrapper,10,713.023853,0.002812,ortools-gls,579.231547,5.000724,133.792306,23.05061,10,10,0
uniform,50,3,lkh-wrapper-v1,10,713.023853,0.002813,ortools-gls,579.231547,5.000724,133.792306,23.05061,10,10,0
uniform,50,3,lkh-wrapper-v2,10,666.325144,0.002839,ortools-gls,579.231547,5.000724,87.093598,15.067022,10,10,0
uniform,50,3,lkh-wrapper-v3,10,671.485662,0.002392,ortools-gls,579.231547,5.000724,92.254115,15.995837,10,10,0
uniform,50,3,rand+nn,10,1240.074712,0.000341,ortools-gls,579.231547,5.000724,660.843165,114.339888,10,10,0
uniform,50,5,2opt+greed,10,1105.531369,0.000332,ortools-gls,588.167659,5.000529,517.36371,88.748036,10,10,0
uniform,50,5,grasp,10,812.929237,0.089028,ortools-gls,588.167659,5.000529,224.761578,38.418677,10,10,0
uniform,50,5,lkh-wrapper,10,950.142333,0.002803,ortools-gls,588.167659,5.000529,361.974674,61.863715,10,10,0
uniform,50,5,lkh-wrapper-v1,10,950.142333,0.002778,ortools-gls,588.167659,5.000529,361.974674,61.863715,10,10,0
uniform,50,5,lkh-wrapper-v2,10,725.431846,0.002633,ortools-gls,588.167659,5.000529,137.264187,23.601592,10,10,0
uniform,50,5,lkh-wrapper-v3,10,728.310124,0.001909,ortools-gls,588.167659,5.000529,140.142465,24.056297,10,10,0
uniform,50,5,rand+nn,10,1623.602636,0.000357,ortools-gls,588.167659,5.000529,1035.434977,176.172384,10,10,0
uniform,100,2,2opt+greed,10,953.271029,0.000666,ortools-gls,787.748738,5.000851,165.522291,21.131817,10,10,0
uniform,100,2,grasp,10,851.164041,0.297621,ortools-gls,787.748738,5.000851,63.415303,8.055111,10,10,0
uniform,100,2,lkh-wrapper,10,874.246837,0.013036,ortools-gls,787.748738,5.000851,86.498099,11.125438,10,10,0
uniform,100,2,lkh-wrapper-v1,10,874.246837,0.012941,ortools-gls,787.748738,5.000851,86.498099,11.125438,10,10,0
uniform,100,2,lkh-wrapper-v2,10,825.210588,0.007889,ortools-gls,787.748738,5.000851,37.46185,4.773846,10,10,0
uniform,100,2,lkh-wrapper-v3,10,836.624812,0.006767,ortools-gls,787.748738,5.000851,48.876074,6.231497,10,10,0
uniform,100,2,rand+nn,10,1339.255606,0.000493,ortools-gls,787.748738,5.000851,551.506868,70.191906,10,10,0
uniform,100,3,2opt+greed,10,1147.048302,0.000642,ortools-gls,827.635909,5.000794,319.412393,38.687881,10,10,0
uniform,100,3,grasp,10,952.659211,0.465207,ortools-gls,827.635909,5.000794,125.023302,15.122073,10,10,0
uniform,100,3,lkh-wrapper,10,1009.844409,0.01662,ortools-gls,827.635909,5.000794,182.208501,22.073193,10,10,0
uniform,100,3,lkh-wrapper-v1,10,1009.844409,0.016095,ortools-gls,827.635909,5.000794,182.208501,22.073193,10,10,0
uniform,100,3,lkh-wrapper-v2,10,908.05245,0.007749,ortools-gls,827.635909,5.000794,80.416541,9.860216,10,10,0
uniform,100,3,lkh-wrapper-v3,10,906.084838,0.005704,ortools-gls,827.635909,5.000794,78.44893,9.60571,10,10,0
uniform,100,3,rand+nn,10,1710.61379,0.00049,ortools-gls,827.635909,5.000794,882.977881,106.783466,10,10,0
uniform,100,5,2opt+greed,10,1364.99256,0.000584,ortools-gls,805.521668,5.001027,559.470893,69.422469,10,10,0
uniform,100,5,grasp,10,1039.689838,0.710303,ortools-gls,805.521668,5.001027,234.16817,29.081519,10,10,0
uniform,100,5,lkh-wrapper,10,1184.915116,0.018696,ortools-gls,805.521668,5.001027,379.393448,47.159814,10,10,0
uniform,100,5,lkh-wrapper-v1,10,1184.915116,0.017622,ortools-gls,805.521668,5.001027,379.393448,47.159814,10,10,0
uniform,100,5,lkh-wrapper-v2,10,979.923894,0.011523,ortools-gls,805.521668,5.001027,174.402226,21.681971,10,10,0
uniform,100,5,lkh-wrapper-v3,10,975.044165,0.006303,ortools-gls,805.521668,5.001027,169.522498,21.051405,10,10,0
uniform,100,5,rand+nn,10,2183.850656,0.000588,ortools-gls,805.521668,5.001027,1378.328988,171.257228,10,10,0
uniform,200,2,2opt+greed,10,1305.437464,0.001624,ortools-gls,1136.093844,5.000955,169.34362,14.888175,10,10,0
uniform,200,2,grasp,10,1225.878596,2.246986,ortools-gls,1136.093844,5.000955,89.784753,7.940215,10,10,0
uniform,200,2,lkh-wrapper,10,1212.738036,0.093203,ortools-gls,1136.093844,5.000955,76.644193,6.75643,10,10,1
uniform,200,2,lkh-wrapper-v1,10,1212.738036,0.092143,ortools-gls,1136.093844,5.000955,76.644193,6.75643,10,10,1
