instance_family,node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,avg_step_time_seconds,valid_runs
uniform,20,2,2opt+greed,10,484.957939,0.000269,0.000262,10
uniform,20,2,grasp,10,405.591497,0.004305,0.004298,10
uniform,20,2,lkh-wrapper,10,449.109137,0.000516,0.00051,10
uniform,20,2,lkh-wrapper-v1,10,449.109137,0.000496,0.00049,10
uniform,20,2,lkh-wrapper-v2,10,410.757168,0.000721,0.000713,10
uniform,20,2,lkh-wrapper-v3,10,410.560949,0.000636,0.000629,10
uniform,20,2,rand+nn,10,616.920139,0.00028,0.000273,10
uniform,20,3,2opt+greed,10,570.803406,0.000232,0.000226,10
uniform,20,3,grasp,10,470.6298,0.004363,0.004356,10
uniform,20,3,lkh-wrapper,10,509.355975,0.00035,0.000344,10
uniform,20,3,lkh-wrapper-v1,10,509.355975,0.000338,0.000332,10
uniform,20,3,lkh-wrapper-v2,10,463.410655,0.000685,0.000678,10
uniform,20,3,lkh-wrapper-v3,10,461.947402,0.000584,0.000578,10
uniform,20,3,rand+nn,10,757.719122,0.000238,0.000231,10
uniform,20,5,2opt+greed,10,819.572023,0.000231,0.000225,10
uniform,20,5,grasp,10,613.46977,0.005524,0.005517,10
uniform,20,5,lkh-wrapper,10,652.414656,0.000373,0.000366,10
uniform,20,5,lkh-wrapper-v1,10,652.414656,0.000328,0.000323,10
uniform,20,5,lkh-wrapper-v2,10,519.095984,0.000642,0.000636,10
uniform,20,5,lkh-wrapper-v3,10,515.812496,0.000569,0.000562,10
uniform,20,5,rand+nn,10,1016.190575,0.000241,0.000234,10
uniform,50,2,2opt+greed,10,736.455674,0.000376,0.000368,10
uniform,50,2,grasp,10,622.408181,0.044067,0.044056,10
uniform,50,2,lkh-wrapper,10,664.584501,0.003333,0.003324,10
uniform,50,2,lkh-wrapper-v1,10,664.584501,0.003079,0.003071,10
uniform,50,2,lkh-wrapper-v2,10,630.928453,0.002402,0.002395,10
uniform,50,2,lkh-wrapper-v3,10,630.2354,0.001981,0.001973,10
uniform,50,2,rand+nn,10,982.556101,0.000349,0.000342,10
uniform,50,3,2opt+greed,10,812.057199,0.000331,0.000325,10
uniform,50,3,grasp,10,672.44794,0.067888,0.067876,10
uniform,50,3,lkh-wrapper,10,713.023853,0.002812,0.002803,10
uniform,50,3,lkh-wrapper-v1,10,713.023853,0.002813,0.002805,10
uniform,50,3,lkh-wrapper-v2,10,666.325144,0.002839,0.002831,10
uniform,50,3,lkh-wrapper-v3,10,671.485662,0.002392,0.002384,10
uniform,50,3,rand+nn,10,1240.074712,0.000341,0.000334,10
uniform,50,5,2opt+greed,10,1105.531369,0.000332,0.000325,10
uniform,50,5,grasp,10,812.929237,0.089028,0.089015,10
uniform,50,5,lkh-wrapper,10,950.142333,0.002803,0.002793,10
uniform,50,5,lkh-wrapper-v1,10,950.142333,0.002778,0.00277,10
uniform,50,5,lkh-wrapper-v2,10,725.431846,0.002633,0.002625,10
uniform,50,5,lkh-wrapper-v3,10,728.310124,0.001909,0.001901,10
uniform,50,5,rand+nn,10,1623.602636,0.000357,0.000349,10
uniform,100,2,2opt+greed,10,953.271029,0.000666,0.000658,10
uniform,100,2,grasp,10,851.164041,0.297621,0.297609,10
uniform,100,2,lkh-wrapper,10,874.246837,0.013036,0.013022,10
uniform,100,2,lkh-wrapper-v1,10,874.246837,0.012941,0.012928,10
