instance_family,node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,avg_step_time_seconds,valid_runs
uniform,100000,5,2opt+greed,1,13128456.276115,257.080123,257.078474,1
uniform,100000,5,lkh-wrapper-v21,1,12995476.526482,358.666364,358.664301,1
uniform,100000,5,lkh_v21_minsum,1,12993166.238245,344.543019,344.540036,1
uniform,100000,5,lkh_v21_minsum_cap,1,13022451.261653,344.541893,344.539235,1
uniform,100000,5,lkh_v21_minsum_depot2m_plus,1,12149667.474251,409.409789,409.407411,1
uniform,100000,7,2opt+greed,1,13606046.179698,208.487811,208.486264,1
uniform,100000,7,lkh-wrapper-v21,1,13455610.164172,383.162455,383.160539,1
uniform,100000,7,lkh_v21_minsum,1,13055628.176013,344.471878,344.46695,1
uniform,100000,7,lkh_v21_minsum_cap,1,13077284.601657,343.797788,343.795684,1
uniform,100000,7,lkh_v21_minsum_depot2m_plus,1,12137648.611777,432.911802,432.90982,1
clustered-center,100000,5,2opt+greed,1,3225438.178675,191.42137,191.418891,1
clustered-center,100000,5,lkh-wrapper-v21,1,3191901.686664,350.891987,350.886752,1
clustered-center,100000,5,lkh_v21_minsum,1,3082788.176728,343.347126,343.34577,1
clustered-center,100000,5,lkh_v21_minsum_cap,1,3082153.719694,317.188439,317.183698,1
clustered-center,100000,5,lkh_v21_minsum_depot2m_plus,1,2910805.768238,403.544482,403.542949,1
clustered-center,100000,7,2opt+greed,1,2781606.869186,165.038671,165.037148,1
clustered-center,100000,7,lkh-wrapper-v21,1,2757683.589987,351.716515,351.711648,1
clustered-center,100000,7,lkh_v21_minsum,1,2678928.716282,343.598936,343.596704,1
clustered-center,100000,7,lkh_v21_minsum_cap,1,2681115.283784,343.477937,343.475878,1
clustered-center,100000,7,lkh_v21_minsum_depot2m_plus,1,2470394.88779,404.44279,404.441129,1
clustered-offset-depot,100000,5,2opt+greed,1,2992415.923695,213.218744,213.217073,1
clustered-offset-depot,100000,5,lkh-wrapper-v21,1,2963946.590332,355.388656,355.386898,1
clustered-offset-depot,100000,5,lkh_v21_minsum,1,2888518.645971,343.48685,343.484966,1
clustered-offset-depot,100000,5,lkh_v21_minsum_cap,1,2900333.026738,343.49889,343.495324,1
clustered-offset-depot,100000,5,lkh_v21_minsum_depot2m_plus,1,2550600.762029,411.429768,411.427517,1
clustered-offset-depot,100000,7,2opt+greed,1,2879891.016661,137.439829,137.438312,1
clustered-offset-depot,100000,7,lkh-wrapper-v21,1,2851049.773878,351.077055,351.07409,1
clustered-offset-depot,100000,7,lkh_v21_minsum,1,2793099.105098,343.513801,343.511799,1
clustered-offset-depot,100000,7,lkh_v21_minsum_cap,1,2785109.91282,343.51064,343.505837,1
clustered-offset-depot,100000,7,lkh_v21_minsum_depot2m_plus,1,2508208.776851,420.231321,420.226016,1
