instance_family,instance,path,node_count,salesman_count,baseline_tier,best_baseline_solver,best_baseline_objective,best_baseline_time_seconds,best_baseline_valid,best_baseline_status,best_baseline_is_exact
clustered-center,clustered-center_n1000_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n1000_m3_r01.txt,1000,3,medium,tsp-transform-lkh,3335.625776,1.226521,True,ok,False
clustered-center,clustered-center_n1000_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n1000_m5_r01.txt,1000,5,medium,ortools-gls,3472.404292,5.00174,True,ok,False
clustered-center,clustered-center_n1000_m7_r01.txt,data\mtsp\generated_multifamily\clustered-center_n1000_m7_r01.txt,1000,7,medium,ortools-gls,3398.734214,5.0025,True,ok,False
clustered-center,clustered-center_n100_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n100_m2_r01.txt,100,2,medium,ortools-gls,235.176596,5.000621,True,ok,False
clustered-center,clustered-center_n100_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n100_m3_r01.txt,100,3,medium,ortools-gls,248.291092,5.000799,True,ok,False
clustered-center,clustered-center_n100_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n100_m5_r01.txt,100,5,medium,ortools-gls,249.114022,5.000539,True,ok,False
clustered-center,clustered-center_n200_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n200_m2_r01.txt,200,2,medium,ortools-gls,296.181468,5.000852,True,ok,False
clustered-center,clustered-center_n200_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n200_m3_r01.txt,200,3,medium,ortools-gls,305.354597,5.000644,True,ok,False
clustered-center,clustered-center_n200_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n200_m5_r01.txt,200,5,medium,ortools-gls,335.034743,5.000539,True,ok,False
clustered-center,clustered-center_n20_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n20_m2_r01.txt,20,2,small,ortools-gls,44.745373,5.000035,True,ok,False
clustered-center,clustered-center_n20_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n20_m3_r01.txt,20,3,small,ortools-gls,43.877905,5.001516,True,ok,False
clustered-center,clustered-center_n20_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n20_m5_r01.txt,20,5,small,ortools-gls,38.744569,5.000544,True,ok,False
clustered-center,clustered-center_n500_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n500_m2_r01.txt,500,2,medium,ortools-gls,1041.766363,5.001087,True,ok,False
clustered-center,clustered-center_n500_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n500_m3_r01.txt,500,3,medium,ortools-gls,1080.086405,5.000934,True,ok,False
clustered-center,clustered-center_n500_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n500_m5_r01.txt,500,5,medium,ortools-gls,1205.83123,5.000525,True,ok,False
