instance_family,node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,avg_step_time_seconds,valid_runs
uniform,20,2,2opt+greed,1,57.563579,2.3e-05,1.4e-05,1
uniform,20,2,lkh-wrapper-v2,1,47.054747,0.000468,0.000461,1
uniform,20,2,lkh-wrapper-v3,1,47.054747,0.000392,0.000386,1
uniform,20,2,rand+nn,1,71.766424,2.1e-05,1.3e-05,1
uniform,20,3,2opt+greed,1,62.572758,2.2e-05,1.3e-05,1
uniform,20,3,lkh-wrapper-v2,1,53.930383,0.000368,0.000362,1
uniform,20,3,lkh-wrapper-v3,1,53.930383,0.000333,0.000327,1
uniform,20,3,rand+nn,1,89.467867,3.1e-05,2.3e-05,1
uniform,20,5,2opt+greed,1,92.317096,2.5e-05,1.3e-05,1
uniform,20,5,lkh-wrapper-v2,1,44.693508,0.000789,0.000782,1
uniform,20,5,lkh-wrapper-v3,1,50.822059,0.000964,0.00095,1
uniform,20,5,rand+nn,1,101.679573,2.3e-05,1.5e-05,1
uniform,50,2,2opt+greed,1,181.328248,5.9e-05,4.9e-05,1
uniform,50,2,lkh-wrapper-v2,1,171.612879,0.004478,0.004451,1
uniform,50,2,lkh-wrapper-v3,1,167.677795,0.00552,0.005486,1
uniform,50,2,rand+nn,1,224.914817,3.1e-05,2.3e-05,1
uniform,50,3,2opt+greed,1,198.260312,5.7e-05,4.4e-05,1
uniform,50,3,lkh-wrapper-v2,1,160.114651,0.002054,0.00204,1
uniform,50,3,lkh-wrapper-v3,1,163.085561,0.001883,0.001875,1
uniform,50,3,rand+nn,1,288.290248,2.8e-05,2.1e-05,1
uniform,50,5,2opt+greed,1,242.845041,4.9e-05,3.8e-05,1
uniform,50,5,lkh-wrapper-v2,1,188.548199,0.002143,0.00213,1
uniform,50,5,lkh-wrapper-v3,1,186.397887,0.001576,0.001559,1
uniform,50,5,rand+nn,1,411.77599,4e-05,3e-05,1
uniform,100,2,2opt+greed,1,461.316171,0.000224,0.000206,1
uniform,100,2,lkh-wrapper-v2,1,436.410467,0.004055,0.004045,1
uniform,100,2,lkh-wrapper-v3,1,433.728831,0.005284,0.00527,1
uniform,100,2,rand+nn,1,763.49026,4.6e-05,3.8e-05,1
uniform,100,3,2opt+greed,1,637.016949,0.0002,0.000184,1
uniform,100,3,lkh-wrapper-v2,1,454.38416,0.015612,0.015597,1
