instance_family,node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,avg_step_time_seconds,valid_runs
uniform,25000,5,2opt+greed,1,1673508.889076,10.793775,10.793391,1
uniform,25000,5,lkh-wrapper-v21,1,1671487.554637,152.089465,152.088003,1
uniform,25000,5,lkh3-baseline,1,1983626.116299,1584.885079,1584.8844,1
uniform,25000,5,lkh_v21_minmax,1,1681195.702865,817.354193,817.35336,1
uniform,25000,5,lkh_v21_minsum,1,1620065.244904,97.64288,97.641831,1
uniform,25000,5,lkh_v21_minsum_cap,1,1623474.718368,97.146719,97.145638,1
uniform,25000,5,lkh_v21_minsum_depot2m_plus,1,1608270.429887,199.274099,199.27307,1
uniform,25000,7,2opt+greed,1,1792420.175296,12.78338,12.782334,1
uniform,25000,7,lkh-wrapper-v21,1,1789729.435859,149.835924,149.835318,1
uniform,25000,7,lkh3-baseline,1,2029148.716867,1603.87024,1603.869511,1
uniform,25000,7,lkh_v21_minmax,1,1800911.796951,326.408415,326.407453,1
uniform,25000,7,lkh_v21_minsum,1,1704027.997459,102.282325,102.281351,1
uniform,25000,7,lkh_v21_minsum_cap,1,1699408.785199,101.127705,101.126941,1
uniform,25000,7,lkh_v21_minsum_depot2m_plus,1,1667304.468183,202.62298,202.621907,1
