instance,path,node_count,salesman_count,solver,objective,time_seconds,valid,reference_solver,reference_objective,reference_time_seconds,reference_valid,objective_gap,relative_gap_percent
n100_m2_r01.txt,data\mtsp\generated\n100_m2_r01.txt,100,2,lkh-wrapper-v1,871.7176648556115,0.020549,True,ortools-gls,798.699339,5.000543,True,73.018326,9.142154
n100_m2_r01.txt,data\mtsp\generated\n100_m2_r01.txt,100,2,lkh-wrapper-v2,842.8565423595294,0.019308,True,ortools-gls,798.699339,5.000543,True,44.157203,5.528639
n100_m2_r02.txt,data\mtsp\generated\n100_m2_r02.txt,100,2,lkh-wrapper-v1,858.1991388060242,0.009974,True,ortools-gls,745.026795,5.000233,True,113.172344,15.190372
n100_m2_r02.txt,data\mtsp\generated\n100_m2_r02.txt,100,2,lkh-wrapper-v2,789.2844420097781,0.004577,True,ortools-gls,745.026795,5.000233,True,44.257647,5.94041
n100_m2_r03.txt,data\mtsp\generated\n100_m2_r03.txt,100,2,lkh-wrapper-v1,918.5185969037366,0.008185,True,ortools-gls,775.387651,5.000449,True,143.130946,18.459276
n100_m2_r03.txt,data\mtsp\generated\n100_m2_r03.txt,100,2,lkh-wrapper-v2,785.9856945291924,0.005299,True,ortools-gls,775.387651,5.000449,True,10.598044,1.366806
n100_m2_r04.txt,data\mtsp\generated\n100_m2_r04.txt,100,2,lkh-wrapper-v1,912.542360535148,0.015308,True,ortools-gls,849.002774,5.000448,True,63.539587,7.484026
n100_m2_r04.txt,data\mtsp\generated\n100_m2_r04.txt,100,2,lkh-wrapper-v2,864.7970439419583,0.005913,True,ortools-gls,849.002774,5.000448,True,15.79427,1.860332
n100_m2_r05.txt,data\mtsp\generated\n100_m2_r05.txt,100,2,lkh-wrapper-v1,862.2690799716593,0.006759,True,ortools-gls,785.248236,5.004294,True,77.020844,9.808471
n100_m2_r05.txt,data\mtsp\generated\n100_m2_r05.txt,100,2,lkh-wrapper-v2,873.5664259371681,0.007671,True,ortools-gls,785.248236,5.004294,True,88.31819,11.247168
n100_m2_r06.txt,data\mtsp\generated\n100_m2_r06.txt,100,2,lkh-wrapper-v1,792.6607949647403,0.003865,True,ortools-gls,768.865595,5.000715,True,23.7952,3.094845
n100_m2_r06.txt,data\mtsp\generated\n100_m2_r06.txt,100,2,lkh-wrapper-v2,769.804100709802,0.007346,True,ortools-gls,768.865595,5.000715,True,0.938506,0.122064
n100_m2_r07.txt,data\mtsp\generated\n100_m2_r07.txt,100,2,lkh-wrapper-v1,948.71687250079,0.029173,True,ortools-gls,749.123052,5.000117,True,199.593821,26.643663
n100_m2_r07.txt,data\mtsp\generated\n100_m2_r07.txt,100,2,lkh-wrapper-v2,793.3204281408724,0.005017,True,ortools-gls,749.123052,5.000117,True,44.197376,5.899882
n100_m2_r08.txt,data\mtsp\generated\n100_m2_r08.txt,100,2,lkh-wrapper-v1,862.3903381289863,0.012909,True,ortools-gls,803.101942,5.000522,True,59.288396,7.382425
n100_m2_r08.txt,data\mtsp\generated\n100_m2_r08.txt,100,2,lkh-wrapper-v2,824.4996230943896,0.008106,True,ortools-gls,803.101942,5.000522,True,21.397681,2.664379
n100_m2_r09.txt,data\mtsp\generated\n100_m2_r09.txt,100,2,lkh-wrapper-v1,876.1530636604247,0.007311,True,ortools-gls,798.156477,5.000594,True,77.996587,9.772092
n100_m2_r09.txt,data\mtsp\generated\n100_m2_r09.txt,100,2,lkh-wrapper-v2,863.4695891812432,0.007493,True,ortools-gls,798.156477,5.000594,True,65.313112,8.182996
n100_m2_r10.txt,data\mtsp\generated\n100_m2_r10.txt,100,2,lkh-wrapper-v1,839.3004578971792,0.011044,True,ortools-gls,804.87552,5.000594,True,34.424938,4.277051
n100_m2_r10.txt,data\mtsp\generated\n100_m2_r10.txt,100,2,lkh-wrapper-v2,844.5219872329712,0.004988,True,ortools-gls,804.87552,5.000594,True,39.646467,4.925789
n100_m3_r01.txt,data\mtsp\generated\n100_m3_r01.txt,100,3,lkh-wrapper-v1,1029.564753009231,0.015289,True,ortools-gls,816.857599,5.00134,True,212.707154,26.039686
n100_m3_r01.txt,data\mtsp\generated\n100_m3_r01.txt,100,3,lkh-wrapper-v2,944.0537070445853,0.01086,True,ortools-gls,816.857599,5.00134,True,127.196108,15.571393
n100_m3_r02.txt,data\mtsp\generated\n100_m3_r02.txt,100,3,lkh-wrapper-v1,947.1037214041395,0.012363,True,ortools-gls,844.760762,5.00042,True,102.342959,12.115023
