node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,avg_step_time_seconds,valid_runs
20,2,lkh-wrapper-v1,10,449.109137,0.000464,0.000459,10
20,3,lkh-wrapper-v1,10,509.355975,0.000293,0.000288,10
20,5,lkh-wrapper-v1,10,652.414656,0.000314,0.000309,10
50,2,lkh-wrapper-v1,10,664.584501,0.002841,0.002835,10
50,3,lkh-wrapper-v1,10,713.023853,0.002552,0.002536,10
50,5,lkh-wrapper-v1,10,950.142333,0.002145,0.002135,10
100,2,lkh-wrapper-v1,10,874.246837,0.012927,0.012911,10
100,3,lkh-wrapper-v1,10,1009.844409,0.017267,0.017251,10
100,5,lkh-wrapper-v1,10,1184.915116,0.018704,0.018683,10
200,2,lkh-wrapper-v1,10,1212.738036,0.102663,0.102641,10
200,3,lkh-wrapper-v1,10,1305.862695,0.08961,0.089592,10
200,5,lkh-wrapper-v1,10,1544.082737,0.113691,0.113673,10
