instance_family,instance,path,node_count,salesman_count,solver,objective,time_seconds,valid,reference_solver,reference_objective,reference_time_seconds,reference_valid,objective_gap,relative_gap_percent
uniform,n100_m2_r01.txt,data\mtsp\generated\n100_m2_r01.txt,100,2,lkh-wrapper-v1,871.7176648556115,0.01699,True,ortools-gls,798.699339,5.000543,True,73.018326,9.142154
uniform,n100_m2_r01.txt,data\mtsp\generated\n100_m2_r01.txt,100,2,lkh-wrapper-v2,842.8565423595294,0.020529,True,ortools-gls,798.699339,5.000543,True,44.157203,5.528639
uniform,n100_m2_r01.txt,data\mtsp\generated\n100_m2_r01.txt,100,2,lkh-wrapper-v3,872.5016278231517,0.014129,True,ortools-gls,798.699339,5.000543,True,73.802289,9.240309
uniform,n100_m2_r02.txt,data\mtsp\generated\n100_m2_r02.txt,100,2,lkh-wrapper-v1,858.1991388060242,0.010431,True,ortools-gls,745.026795,5.000233,True,113.172344,15.190372
uniform,n100_m2_r02.txt,data\mtsp\generated\n100_m2_r02.txt,100,2,lkh-wrapper-v2,789.2844420097781,0.004685,True,ortools-gls,745.026795,5.000233,True,44.257647,5.94041
uniform,n100_m2_r02.txt,data\mtsp\generated\n100_m2_r02.txt,100,2,lkh-wrapper-v3,816.9467273253285,0.006498,True,ortools-gls,745.026795,5.000233,True,71.919932,9.653335
uniform,n100_m2_r03.txt,data\mtsp\generated\n100_m2_r03.txt,100,2,lkh-wrapper-v1,918.5185969037366,0.007233,True,ortools-gls,775.387651,5.000449,True,143.130946,18.459276
uniform,n100_m2_r03.txt,data\mtsp\generated\n100_m2_r03.txt,100,2,lkh-wrapper-v2,785.9856945291924,0.005649,True,ortools-gls,775.387651,5.000449,True,10.598044,1.366806
uniform,n100_m2_r03.txt,data\mtsp\generated\n100_m2_r03.txt,100,2,lkh-wrapper-v3,788.2675737185205,0.006131,True,ortools-gls,775.387651,5.000449,True,12.879923,1.661095
uniform,n100_m2_r04.txt,data\mtsp\generated\n100_m2_r04.txt,100,2,lkh-wrapper-v1,912.542360535148,0.01775,True,ortools-gls,849.002774,5.000448,True,63.539587,7.484026
uniform,n100_m2_r04.txt,data\mtsp\generated\n100_m2_r04.txt,100,2,lkh-wrapper-v2,864.7970439419583,0.007338,True,ortools-gls,849.002774,5.000448,True,15.79427,1.860332
