instance_family,node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,reference_solver,avg_reference_objective,avg_reference_time_seconds,avg_objective_gap,avg_relative_gap_percent,valid_runs,reference_valid_runs,better_than_reference_runs
uniform,20,2,lkh-wrapper-v1,10,449.109137,0.0005,ortools-gls,365.718201,5.000524,83.390936,23.081994,10,10,0
uniform,20,2,lkh-wrapper-v2,10,410.757168,0.000764,ortools-gls,365.718201,5.000524,45.038967,12.176091,10,10,0
uniform,20,2,lkh-wrapper-v3,10,410.560949,0.00062,ortools-gls,365.718201,5.000524,44.842748,12.128732,10,10,0
uniform,20,3,lkh-wrapper-v1,10,509.355975,0.000369,ortools-gls,378.998311,5.001058,130.357664,34.458318,10,10,0
uniform,20,3,lkh-wrapper-v2,10,463.410655,0.000669,ortools-gls,378.998311,5.001058,84.412344,22.107154,10,10,0
uniform,20,3,lkh-wrapper-v3,10,461.947402,0.000568,ortools-gls,378.998311,5.001058,82.949091,21.707776,10,10,0
uniform,20,5,lkh-wrapper-v1,10,652.414656,0.000404,ortools-gls,401.735001,5.00052,250.679656,62.459683,10,10,0
uniform,20,5,lkh-wrapper-v2,10,519.095984,0.000718,ortools-gls,401.735001,5.00052,117.360983,29.366649,10,10,0
uniform,20,5,lkh-wrapper-v3,10,515.812496,0.000593,ortools-gls,401.735001,5.00052,114.077496,28.584711,10,10,0
uniform,50,2,lkh-wrapper-v1,10,664.584501,0.003003,ortools-gls,577.569335,5.000956,87.015166,15.302939,10,10,0
uniform,50,2,lkh-wrapper-v2,10,630.928453,0.002607,ortools-gls,577.569335,5.000956,53.359118,9.325731,10,10,0
uniform,50,2,lkh-wrapper-v3,10,630.2354,0.002083,ortools-gls,577.569335,5.000956,52.666064,9.220993,10,10,0
uniform,50,3,lkh-wrapper-v1,10,713.023853,0.002775,ortools-gls,579.231547,5.000724,133.792306,23.05061,10,10,0
uniform,50,3,lkh-wrapper-v2,10,666.325144,0.002892,ortools-gls,579.231547,5.000724,87.093598,15.067022,10,10,0
uniform,50,3,lkh-wrapper-v3,10,671.485662,0.002364,ortools-gls,579.231547,5.000724,92.254115,15.995837,10,10,0
uniform,50,5,lkh-wrapper-v1,10,950.142333,0.00276,ortools-gls,588.167659,5.000529,361.974674,61.863715,10,10,0
uniform,50,5,lkh-wrapper-v2,10,725.431846,0.002681,ortools-gls,588.167659,5.000529,137.264187,23.601592,10,10,0
uniform,50,5,lkh-wrapper-v3,10,728.310124,0.001908,ortools-gls,588.167659,5.000529,140.142465,24.056297,10,10,0
uniform,100,2,lkh-wrapper-v1,10,874.246837,0.01297,ortools-gls,787.748738,5.000851,86.498099,11.125438,10,10,0
uniform,100,2,lkh-wrapper-v2,10,825.210588,0.008104,ortools-gls,787.748738,5.000851,37.46185,4.773846,10,10,0
uniform,100,2,lkh-wrapper-v3,10,836.624812,0.007077,ortools-gls,787.748738,5.000851,48.876074,6.231497,10,10,0
uniform,100,3,lkh-wrapper-v1,10,1009.844409,0.016092,ortools-gls,827.635909,5.000794,182.208501,22.073193,10,10,0
uniform,100,3,lkh-wrapper-v2,10,908.05245,0.008227,ortools-gls,827.635909,5.000794,80.416541,9.860216,10,10,0
uniform,100,3,lkh-wrapper-v3,10,906.084838,0.005805,ortools-gls,827.635909,5.000794,78.44893,9.60571,10,10,0
uniform,100,5,lkh-wrapper-v1,10,1184.915116,0.018033,ortools-gls,805.521668,5.001027,379.393448,47.159814,10,10,0
uniform,100,5,lkh-wrapper-v2,10,979.923894,0.011285,ortools-gls,805.521668,5.001027,174.402226,21.681971,10,10,0
uniform,100,5,lkh-wrapper-v3,10,975.044165,0.006385,ortools-gls,805.521668,5.001027,169.522498,21.051405,10,10,0
uniform,200,2,lkh-wrapper-v1,10,1212.738036,0.092496,ortools-gls,1136.093844,5.000955,76.644193,6.75643,10,10,1
uniform,200,2,lkh-wrapper-v2,10,1184.565253,0.059721,ortools-gls,1136.093844,5.000955,48.47141,4.302915,10,10,1
uniform,200,2,lkh-wrapper-v3,10,1195.849985,0.044017,ortools-gls,1136.093844,5.000955,59.756141,5.303261,10,10,1
uniform,200,3,lkh-wrapper-v1,10,1305.862695,0.086929,ortools-gls,1143.027631,5.000962,162.835064,14.305717,10,10,0
uniform,200,3,lkh-wrapper-v2,10,1220.966759,0.052526,ortools-gls,1143.027631,5.000962,77.939128,6.867458,10,10,0
uniform,200,3,lkh-wrapper-v3,10,1212.540047,0.027583,ortools-gls,1143.027631,5.000962,69.512416,6.133333,10,10,0
uniform,200,5,lkh-wrapper-v1,10,1544.082737,0.120603,ortools-gls,1153.235162,5.000902,390.847575,33.89503,10,10,0
uniform,200,5,lkh-wrapper-v2,10,1321.24527,0.072708,ortools-gls,1153.235162,5.000902,168.010109,14.590909,10,10,0
uniform,200,5,lkh-wrapper-v3,10,1329.253611,0.023072,ortools-gls,1153.235162,5.000902,176.01845,15.284656,10,10,0
