instance_family,node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,avg_step_time_seconds,valid_runs
uniform,20,2,lkh-wrapper-v1,10,449.109137,0.0005,0.000493,10
uniform,20,2,lkh-wrapper-v2,10,410.757168,0.000764,0.000757,10
uniform,20,2,lkh-wrapper-v3,10,410.560949,0.00062,0.000613,10
uniform,20,3,lkh-wrapper-v1,10,509.355975,0.000369,0.000362,10
uniform,20,3,lkh-wrapper-v2,10,463.410655,0.000669,0.000663,10
uniform,20,3,lkh-wrapper-v3,10,461.947402,0.000568,0.000561,10
uniform,20,5,lkh-wrapper-v1,10,652.414656,0.000404,0.000396,10
uniform,20,5,lkh-wrapper-v2,10,519.095984,0.000718,0.000711,10
uniform,20,5,lkh-wrapper-v3,10,515.812496,0.000593,0.000584,10
uniform,50,2,lkh-wrapper-v1,10,664.584501,0.003003,0.002995,10
uniform,50,2,lkh-wrapper-v2,10,630.928453,0.002607,0.002597,10
uniform,50,2,lkh-wrapper-v3,10,630.2354,0.002083,0.002074,10
uniform,50,3,lkh-wrapper-v1,10,713.023853,0.002775,0.002766,10
uniform,50,3,lkh-wrapper-v2,10,666.325144,0.002892,0.00288,10
uniform,50,3,lkh-wrapper-v3,10,671.485662,0.002364,0.002355,10
uniform,50,5,lkh-wrapper-v1,10,950.142333,0.00276,0.002749,10
uniform,50,5,lkh-wrapper-v2,10,725.431846,0.002681,0.002674,10
uniform,50,5,lkh-wrapper-v3,10,728.310124,0.001908,0.0019,10
uniform,100,2,lkh-wrapper-v1,10,874.246837,0.01297,0.012957,10
uniform,100,2,lkh-wrapper-v2,10,825.210588,0.008104,0.008093,10
uniform,100,2,lkh-wrapper-v3,10,836.624812,0.007077,0.007067,10
uniform,100,3,lkh-wrapper-v1,10,1009.844409,0.016092,0.016072,10
uniform,100,3,lkh-wrapper-v2,10,908.05245,0.008227,0.008216,10
uniform,100,3,lkh-wrapper-v3,10,906.084838,0.005805,0.005781,10
uniform,100,5,lkh-wrapper-v1,10,1184.915116,0.018033,0.018014,10
uniform,100,5,lkh-wrapper-v2,10,979.923894,0.011285,0.011273,10
uniform,100,5,lkh-wrapper-v3,10,975.044165,0.006385,0.006372,10
uniform,200,2,lkh-wrapper-v1,10,1212.738036,0.092496,0.092476,10
uniform,200,2,lkh-wrapper-v2,10,1184.565253,0.059721,0.059703,10
uniform,200,2,lkh-wrapper-v3,10,1195.849985,0.044017,0.043997,10
uniform,200,3,lkh-wrapper-v1,10,1305.862695,0.086929,0.086908,10
uniform,200,3,lkh-wrapper-v2,10,1220.966759,0.052526,0.0525,10
uniform,200,3,lkh-wrapper-v3,10,1212.540047,0.027583,0.027568,10
uniform,200,5,lkh-wrapper-v1,10,1544.082737,0.120603,0.120565,10
uniform,200,5,lkh-wrapper-v2,10,1321.24527,0.072708,0.072688,10
uniform,200,5,lkh-wrapper-v3,10,1329.253611,0.023072,0.023058,10
