instance_family,node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,avg_step_time_seconds,valid_runs
uniform,20,2,lkh-wrapper-v4,1,47.054747,0.000309,0.000295,1
uniform,20,2,lkh-wrapper-v5,1,48.703322,0.000792,0.000779,1
uniform,20,2,lkh-wrapper-v6,1,52.284431,0.001229,0.001216,1
uniform,20,3,lkh-wrapper-v4,1,53.930383,0.000335,0.000324,1
uniform,20,3,lkh-wrapper-v5,1,53.930383,0.001278,0.001195,1
uniform,20,3,lkh-wrapper-v6,1,61.580952,0.00123,0.001215,1
uniform,20,5,lkh-wrapper-v4,1,50.822059,0.00062,0.000582,1
uniform,20,5,lkh-wrapper-v5,1,63.943784,0.000962,0.000942,1
uniform,20,5,lkh-wrapper-v6,1,73.452168,4.500073,4.500024,1
uniform,50,2,lkh-wrapper-v4,1,167.52018,0.001804,0.001776,1
uniform,50,2,lkh-wrapper-v5,1,173.723843,0.004171,0.004153,1
uniform,50,2,lkh-wrapper-v6,1,161.588613,0.005497,0.005481,1
uniform,50,3,lkh-wrapper-v4,1,164.358091,0.001052,0.00104,1
uniform,50,3,lkh-wrapper-v5,1,168.362682,0.00427,0.004252,1
uniform,50,3,lkh-wrapper-v6,1,213.303336,0.004451,0.004437,1
uniform,50,5,lkh-wrapper-v4,1,186.397887,0.001467,0.001443,1
uniform,50,5,lkh-wrapper-v5,1,186.933054,0.00379,0.003777,1
uniform,50,5,lkh-wrapper-v6,1,197.251505,0.008277,0.008254,1
uniform,100,2,lkh-wrapper-v4,1,438.704036,0.002789,0.002773,1
uniform,100,2,lkh-wrapper-v5,1,456.44364,0.011028,0.011002,1
uniform,100,2,lkh-wrapper-v6,1,434.26001,0.012719,0.012685,1
uniform,100,3,lkh-wrapper-v4,1,468.84921,0.003462,0.003439,1
uniform,100,3,lkh-wrapper-v5,1,504.182221,0.011189,0.011151,1
uniform,100,3,lkh-wrapper-v6,1,531.414868,0.01388,0.013855,1
uniform,100,5,lkh-wrapper-v4,1,478.005183,0.003874,0.00385,1
uniform,100,5,lkh-wrapper-v5,1,521.603815,0.012962,0.012928,1
uniform,100,5,lkh-wrapper-v6,1,688.387103,0.020907,0.020865,1
uniform,200,2,lkh-wrapper-v4,1,1298.327541,0.009764,0.009702,1
uniform,200,2,lkh-wrapper-v5,1,1183.153292,0.028254,0.028212,1
uniform,200,2,lkh-wrapper-v6,1,1205.588227,0.0259,0.025865,1
