instance_family,node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,avg_step_time_seconds,valid_runs
uniform,10000,5,lkh-wrapper-v4,1,8289479.126151,35.452812,35.451892,1
uniform,10000,5,lkh-wrapper-v5,1,9111855.974249,35.267506,35.266667,1
uniform,10000,5,lkh-wrapper-v6,1,447243.46135,27.736243,27.735996,1
uniform,25000,5,lkh-wrapper-v4,1,66105626.000394,34.335745,34.334934,1
uniform,25000,5,lkh-wrapper-v5,1,68330188.822932,28.821686,28.821236,1
uniform,25000,5,lkh-wrapper-v6,1,,28.746517,28.746181,0
uniform,50000,5,lkh-wrapper-v4,1,271483846.831096,46.128099,46.127002,1
uniform,50000,5,lkh-wrapper-v5,1,274279582.328545,28.570477,28.569889,1
uniform,50000,5,lkh-wrapper-v6,1,,28.360812,28.360501,0
uniform,100000,5,lkh-wrapper-v4,1,1091147106.332559,46.407555,46.403969,1
uniform,100000,5,lkh-wrapper-v5,1,1094112397.377377,28.588552,28.587728,1
uniform,100000,5,lkh-wrapper-v6,1,,28.454427,28.45398,0
mixed,10000,5,lkh-wrapper-v4,1,2404417.107558,37.75907,37.757748,1
mixed,10000,5,lkh-wrapper-v5,1,3425145.276909,31.85352,31.852755,1
mixed,10000,5,lkh-wrapper-v6,1,225821.999094,27.756844,27.75665,1
mixed,25000,5,lkh-wrapper-v4,1,21147360.960306,42.847657,42.846473,1
mixed,25000,5,lkh-wrapper-v5,1,31401384.747284,29.360143,29.359477,1
mixed,25000,5,lkh-wrapper-v6,1,,29.011351,29.011029,0
mixed,50000,5,lkh-wrapper-v4,1,79923440.235053,41.752063,41.751069,1
mixed,50000,5,lkh-wrapper-v5,1,121448434.904936,28.601436,28.600935,1
mixed,50000,5,lkh-wrapper-v6,1,,28.461783,28.46151,0
mixed,100000,5,lkh-wrapper-v4,1,364230527.803506,58.239025,58.236738,1
mixed,100000,5,lkh-wrapper-v5,1,499517361.648301,29.659171,29.652498,1
mixed,100000,5,lkh-wrapper-v6,1,,28.220915,28.220455,0
