"instance","solver","valid","status","objective","time","path"
"uniform_n5000_m5_r01","lkh3-baseline","True","ok","127094.463191178","36.629301","data\results\manual_runs\n5000_lkh3_baseline_vs_v12\lkh3-baseline_uniform_n5000_m5_r01.json"
"uniform_n5000_m5_r01","lkh-wrapper-v12","True","ok","159615.231192985","4.795729","data\results\manual_runs\n5000_lkh3_baseline_vs_v12\v12_uniform_n5000_m5_r01.json"
"mixed_n5000_m5_r01","lkh3-baseline","True","ok","62667.8121951559","28.047062","data\results\manual_runs\n5000_lkh3_baseline_vs_v12\lkh3-baseline_mixed_n5000_m5_r01.json"
"mixed_n5000_m5_r01","lkh-wrapper-v12","True","ok","75288.8237988447","4.830262","data\results\manual_runs\n5000_lkh3_baseline_vs_v12\v12_mixed_n5000_m5_r01.json"
"outliers_n5000_m5_r01","lkh3-baseline","True","ok","60255.9284019798","27.415434","data\results\manual_runs\n5000_lkh3_baseline_vs_v12\lkh3-baseline_outliers_n5000_m5_r01.json"
"outliers_n5000_m5_r01","lkh-wrapper-v12","True","ok","71603.7708325551","4.796774","data\results\manual_runs\n5000_lkh3_baseline_vs_v12\v12_outliers_n5000_m5_r01.json"
"clustered-center_n5000_m5_r01","lkh3-baseline","True","ok","27837.7409169754","28.313739","data\results\manual_runs\n5000_lkh3_baseline_vs_v12\lkh3-baseline_clustered-center_n5000_m5_r01.json"
"clustered-center_n5000_m5_r01","lkh-wrapper-v12","True","ok","37140.172511393","4.734532","data\results\manual_runs\n5000_lkh3_baseline_vs_v12\v12_clustered-center_n5000_m5_r01.json"
"high-m-stress_n5000_m5_r01","lkh3-baseline","True","ok","61312.3784391084","28.275903","data\results\manual_runs\n5000_lkh3_baseline_vs_v12\lkh3-baseline_high-m-stress_n5000_m5_r01.json"
"high-m-stress_n5000_m5_r01","lkh-wrapper-v12","True","ok","84752.4656598939","4.826524","data\results\manual_runs\n5000_lkh3_baseline_vs_v12\v12_high-m-stress_n5000_m5_r01.json"
