"instance","solver","valid","status","objective","time","path"
"uniform_n100_m5_r01","lkh3-baseline","True","ok","428.791281355211","4.303581","data\results\manual_runs\small_lkh3_baseline_vs_v12\lkh3-baseline_uniform_n100_m5_r01.json"
"uniform_n100_m5_r01","lkh-wrapper-v12","True","ok","476.13831595602","2.138578","data\results\manual_runs\small_lkh3_baseline_vs_v12\v12_uniform_n100_m5_r01.json"
"mixed_n200_m5_r01","lkh3-baseline","True","ok","735.627867167695","1.63085","data\results\manual_runs\small_lkh3_baseline_vs_v12\lkh3-baseline_mixed_n200_m5_r01.json"
"mixed_n200_m5_r01","lkh-wrapper-v12","True","ok","835.573028112828","2.188509","data\results\manual_runs\small_lkh3_baseline_vs_v12\v12_mixed_n200_m5_r01.json"
"outliers_n500_m5_r01","lkh3-baseline","True","ok","2576.74760238227","5.674108","data\results\manual_runs\small_lkh3_baseline_vs_v12\lkh3-baseline_outliers_n500_m5_r01.json"
"outliers_n500_m5_r01","lkh-wrapper-v12","True","ok","3082.51449460797","2.358998","data\results\manual_runs\small_lkh3_baseline_vs_v12\v12_outliers_n500_m5_r01.json"
"clustered-center_n1000_m5_r01","lkh3-baseline","True","ok","3330.93812037507","6.373677","data\results\manual_runs\small_lkh3_baseline_vs_v12\lkh3-baseline_clustered-center_n1000_m5_r01.json"
"clustered-center_n1000_m5_r01","lkh-wrapper-v12","True","ok","3870.87834093461","2.290346","data\results\manual_runs\small_lkh3_baseline_vs_v12\v12_clustered-center_n1000_m5_r01.json"
"high-m-stress_n1000_m5_r01","lkh3-baseline","True","ok","5872.42674876041","6.393422","data\results\manual_runs\small_lkh3_baseline_vs_v12\lkh3-baseline_high-m-stress_n1000_m5_r01.json"
"high-m-stress_n1000_m5_r01","lkh-wrapper-v12","True","ok","6431.15732150896","4.345629","data\results\manual_runs\small_lkh3_baseline_vs_v12\v12_high-m-stress_n1000_m5_r01.json"
