"instance","solver","valid","objective","time","path"
"uniform_n100_m5_r01","lkh-wrapper","True","697.871693431763","0.015417","data\results\manual_runs\small_lkh_vs_v12\lkh-wrapper_uniform_n100_m5_r01.json"
"uniform_n100_m5_r01","lkh-wrapper-v12","True","476.13831595602","2.138677","data\results\manual_runs\small_lkh_vs_v12\v12_uniform_n100_m5_r01.json"
"mixed_n200_m5_r01","lkh-wrapper","True","1019.94709890221","0.148185","data\results\manual_runs\small_lkh_vs_v12\lkh-wrapper_mixed_n200_m5_r01.json"
"mixed_n200_m5_r01","lkh-wrapper-v12","True","835.573028112828","2.184694","data\results\manual_runs\small_lkh_vs_v12\v12_mixed_n200_m5_r01.json"
"outliers_n500_m5_r01","lkh-wrapper","True","3439.26912818108","1.075048","data\results\manual_runs\small_lkh_vs_v12\lkh-wrapper_outliers_n500_m5_r01.json"
"outliers_n500_m5_r01","lkh-wrapper-v12","True","3082.51449460797","2.32636","data\results\manual_runs\small_lkh_vs_v12\v12_outliers_n500_m5_r01.json"
"clustered-center_n1000_m5_r01","lkh-wrapper","True","4663.38273628035","22.626048","data\results\manual_runs\small_lkh_vs_v12\lkh-wrapper_clustered-center_n1000_m5_r01.json"
"clustered-center_n1000_m5_r01","lkh-wrapper-v12","True","3870.87834093461","2.215799","data\results\manual_runs\small_lkh_vs_v12\v12_clustered-center_n1000_m5_r01.json"
"high-m-stress_n1000_m5_r01","lkh-wrapper","True","8047.09576597462","16.978699","data\results\manual_runs\small_lkh_vs_v12\lkh-wrapper_high-m-stress_n1000_m5_r01.json"
"high-m-stress_n1000_m5_r01","lkh-wrapper-v12","True","6431.15732150896","3.939242","data\results\manual_runs\small_lkh_vs_v12\v12_high-m-stress_n1000_m5_r01.json"
