"instance","mode","status","valid","objective","time","route_before_sum","route_after_sum","route_final_sum","route_improvements","route_accepted"
"uniform_n10000_m5_r01.txt","base","ok","True","452280.995497264","31.525523",,,,,
"uniform_n10000_m5_r01.txt","route-anneal","ok","True","450836.513242205","32.523412","451476.595465","450437.338324","450836.513242","20","34"
"mixed_n10000_m5_r01.txt","base","ok","True","227909.952254692","31.681252",,,,,
"mixed_n10000_m5_r01.txt","route-anneal","ok","True","227270.25023151","31.938441","227270.250232","227270.250232",,"0","1429"
"outliers_n10000_m5_r01.txt","base","ok","True","235231.849995373","30.162045",,,,,
"outliers_n10000_m5_r01.txt","route-anneal","ok","True","234640.287867075","30.699936","235097.890501","234640.287867","234640.287867","19","43"
"high-m-stress_n10000_m5_r01.txt","base","ok","True","228353.234829244","31.017537",,,,,
"high-m-stress_n10000_m5_r01.txt","route-anneal","ok","True","227876.307109139","33.142493","227876.307109","227876.307109",,"0","198"
"clustered-center_n10000_m5_r01.txt","base","ok","True","103616.281432986","31.665145",,,,,
"clustered-center_n10000_m5_r01.txt","route-anneal","ok","True","103338.17802365","30.155231","103338.178024","103338.178024",,"0","346"
"clustered-offset-depot_n10000_m5_r01.txt","base","ok","True","117099.651916041","29.070503",,,,,
"clustered-offset-depot_n10000_m5_r01.txt","route-anneal","ok","True","117053.657154251","33.169389","117060.611025","117053.657154","117053.657154","2","58"
