"instance","mode","status","valid","objective","time","route_before_sum","route_after_sum","route_raw_sum","route_final_sum","route_improvements","route_accepted"
"clustered-center_n10000_m5_r01.txt","base","ok","True","103951.555735132","31.757529",,,,,,
"clustered-center_n10000_m5_r01.txt","route-anneal","ok","True","103338.17802365","30.055172","103338.178024","103338.178024",,,"0","346"
"clustered-offset-depot_n10000_m5_r01.txt","base","ok","True","117073.966659643","29.773745",,,,,,
"clustered-offset-depot_n10000_m5_r01.txt","route-anneal","ok","True","117078.219018436","29.965041","117099.651916","117078.219018","117078.219018","118016.649104","6","96"
"high-m-stress_n10000_m5_r01.txt","base","ok","True","227551.958886993","28.895262",,,,,,
"high-m-stress_n10000_m5_r01.txt","route-anneal","ok","True","226753.010790414","32.834156","226753.01079","226753.01079",,,"0","182"
"mixed_n10000_m5_r01.txt","base","ok","True","227757.678558355","31.295906",,,,,,
"mixed_n10000_m5_r01.txt","route-anneal","ok","True","227117.035224209","31.948141","227117.035224","227117.035224",,,"0","1590"
"outliers_n10000_m5_r01.txt","base","ok","True","231877.871179545","30.873223",,,,,,
"outliers_n10000_m5_r01.txt","route-anneal","ok","True","234143.299390279","32.588653","234685.42034","234143.29939","234143.29939","234143.29939","16","44"
"uniform_n10000_m5_r01.txt","base","ok","True","448370.517883169","31.408862",,,,,,
"uniform_n10000_m5_r01.txt","route-anneal","ok","True","448797.84060905","32.659455","450601.264364","448797.840609","448797.840609","450268.784327","33","44"
