family,node_count,salesman_count,n_instances,mean_diff_grasp_minus_lkh,sd_diff,ci95_low,ci95_high,paired_t_pvalue,wilcoxon_pvalue,lkh_wins,grasp_wins
uniform,20,2,10,-5.165670793107267,18.600650502117624,-18.47177458534382,8.140432999129285,0.40266563688507023,0.431640625,4,6
uniform,20,3,10,7.219144775998274,32.48813497309822,-16.021466939114614,30.45975649111116,0.5000217950247754,0.4921875,7,3
uniform,20,5,10,94.37378674407691,52.95293729415214,56.49353735927361,132.25403612888022,0.00031929677633146076,0.00390625,9,1
uniform,50,2,10,-8.520272296541032,13.78356737282069,-18.380442405600242,1.3398978125181795,0.08233573629899367,0.064453125,3,7
uniform,50,3,10,6.122796178297267,27.292334357122364,-13.400963684130655,25.64655604072519,0.4960247348570948,0.556640625,7,3
uniform,50,5,10,87.49739048927344,47.741870990129726,53.34491337252361,121.64986760602328,0.0002609213395942145,0.001953125,10,0
uniform,100,2,10,25.953453583862164,29.019134933278163,5.194415004047066,46.71249216367726,0.019780316233270347,0.02734375,8,2
uniform,100,3,10,44.60676067269075,55.373466730427054,4.9949688395429135,84.21855250583857,0.03132754860624672,0.02734375,7,3
uniform,100,5,10,59.76594405463807,51.43457184844382,22.971867877209448,96.56002023206669,0.0051189371132992715,0.005859375,9,1
uniform,200,2,10,41.31334338566414,35.7246103128026,15.757496685289976,66.8691900860383,0.005260127391006536,0.009765625,9,1
uniform,200,3,10,99.16255062366095,46.41722485484577,65.95766826775385,132.36743297956804,8.311332499204876e-05,0.001953125,10,0
uniform,200,5,10,94.66970917765866,37.76828991275962,67.65190216186387,121.68751619345345,2.382596736466885e-05,0.001953125,10,0
