instance,path,node_count,salesman_count,solver,objective,time_seconds,valid,reference_solver,reference_objective,reference_time_seconds,reference_valid,objective_gap,relative_gap_percent
n100_m2_r01.txt,data\mtsp\generated\n100_m2_r01.txt,100,2,rand+nn,1233.2660152317053,0.000506,True,ortools-gls,798.699339,5.000543,True,434.566676,54.409295
n100_m2_r01.txt,data\mtsp\generated\n100_m2_r01.txt,100,2,2opt+greed,992.294321142642,0.000612,True,ortools-gls,798.699339,5.000543,True,193.594982,24.238781
n100_m2_r01.txt,data\mtsp\generated\n100_m2_r01.txt,100,2,grasp,862.5513674865011,0.304546,True,ortools-gls,798.699339,5.000543,True,63.852028,7.994501
n100_m2_r01.txt,data\mtsp\generated\n100_m2_r01.txt,100,2,lkh-wrapper,871.7176648556115,0.013135,True,ortools-gls,798.699339,5.000543,True,73.018326,9.142154
n100_m2_r02.txt,data\mtsp\generated\n100_m2_r02.txt,100,2,rand+nn,1358.4243359574964,0.000433,True,ortools-gls,745.026795,5.000233,True,613.397541,82.332279
n100_m2_r02.txt,data\mtsp\generated\n100_m2_r02.txt,100,2,2opt+greed,932.6367718849003,0.000607,True,ortools-gls,745.026795,5.000233,True,187.609977,25.181642
n100_m2_r02.txt,data\mtsp\generated\n100_m2_r02.txt,100,2,grasp,832.7430097960223,0.349888,True,ortools-gls,745.026795,5.000233,True,87.716215,11.773565
n100_m2_r02.txt,data\mtsp\generated\n100_m2_r02.txt,100,2,lkh-wrapper,858.1991388060242,0.011217,True,ortools-gls,745.026795,5.000233,True,113.172344,15.190372
n100_m2_r03.txt,data\mtsp\generated\n100_m2_r03.txt,100,2,rand+nn,1367.3433527225297,0.000421,True,ortools-gls,775.387651,5.000449,True,591.955702,76.343194
n100_m2_r03.txt,data\mtsp\generated\n100_m2_r03.txt,100,2,2opt+greed,948.0796119023905,0.000537,True,ortools-gls,775.387651,5.000449,True,172.691961,22.271693
n100_m2_r03.txt,data\mtsp\generated\n100_m2_r03.txt,100,2,grasp,850.1971151276061,0.315501,True,ortools-gls,775.387651,5.000449,True,74.809464,9.648008
n100_m2_r03.txt,data\mtsp\generated\n100_m2_r03.txt,100,2,lkh-wrapper,918.5185969037366,0.00897,True,ortools-gls,775.387651,5.000449,True,143.130946,18.459276
n100_m2_r04.txt,data\mtsp\generated\n100_m2_r04.txt,100,2,rand+nn,1381.0351135962424,0.000482,True,ortools-gls,849.002774,5.000448,True,532.03234,62.66556
n100_m2_r04.txt,data\mtsp\generated\n100_m2_r04.txt,100,2,2opt+greed,1012.992957103306,0.00051,True,ortools-gls,849.002774,5.000448,True,163.990183,19.315624
n100_m2_r04.txt,data\mtsp\generated\n100_m2_r04.txt,100,2,grasp,904.8081946749394,0.266355,True,ortools-gls,849.002774,5.000448,True,55.805421,6.573055
n100_m2_r04.txt,data\mtsp\generated\n100_m2_r04.txt,100,2,lkh-wrapper,912.542360535148,0.016355,True,ortools-gls,849.002774,5.000448,True,63.539587,7.484026
n100_m2_r05.txt,data\mtsp\generated\n100_m2_r05.txt,100,2,rand+nn,1395.070440677321,0.000604,True,ortools-gls,785.248236,5.004294,True,609.822205,77.659799
n100_m2_r05.txt,data\mtsp\generated\n100_m2_r05.txt,100,2,2opt+greed,883.5679334132806,0.000685,True,ortools-gls,785.248236,5.004294,True,98.319697,12.520843
n100_m2_r05.txt,data\mtsp\generated\n100_m2_r05.txt,100,2,grasp,861.7080995982009,0.27942,True,ortools-gls,785.248236,5.004294,True,76.459864,9.737031
n100_m2_r05.txt,data\mtsp\generated\n100_m2_r05.txt,100,2,lkh-wrapper,862.2690799716593,0.005863,True,ortools-gls,785.248236,5.004294,True,77.020844,9.808471
n100_m2_r06.txt,data\mtsp\generated\n100_m2_r06.txt,100,2,rand+nn,1319.1432353583946,0.000431,True,ortools-gls,768.865595,5.000715,True,550.27764,71.570069
n100_m2_r06.txt,data\mtsp\generated\n100_m2_r06.txt,100,2,2opt+greed,825.7249956574458,0.00057,True,ortools-gls,768.865595,5.000715,True,56.859401,7.395233
n100_m2_r06.txt,data\mtsp\generated\n100_m2_r06.txt,100,2,grasp,826.1864204546023,0.244186,True,ortools-gls,768.865595,5.000715,True,57.320825,7.455246
n100_m2_r06.txt,data\mtsp\generated\n100_m2_r06.txt,100,2,lkh-wrapper,792.6607949647403,0.002726,True,ortools-gls,768.865595,5.000715,True,23.7952,3.094845
n100_m2_r07.txt,data\mtsp\generated\n100_m2_r07.txt,100,2,rand+nn,1292.7580420041609,0.000403,True,ortools-gls,749.123052,5.000117,True,543.63499,72.569518
n100_m2_r07.txt,data\mtsp\generated\n100_m2_r07.txt,100,2,2opt+greed,1079.2942546421425,0.00046,True,ortools-gls,749.123052,5.000117,True,330.171203,44.074362
n100_m2_r07.txt,data\mtsp\generated\n100_m2_r07.txt,100,2,grasp,767.8393179843606,0.239083,True,ortools-gls,749.123052,5.000117,True,18.716266,2.498423
n100_m2_r07.txt,data\mtsp\generated\n100_m2_r07.txt,100,2,lkh-wrapper,948.71687250079,0.028522,True,ortools-gls,749.123052,5.000117,True,199.593821,26.643663
n100_m2_r08.txt,data\mtsp\generated\n100_m2_r08.txt,100,2,rand+nn,1448.273205818628,0.000437,True,ortools-gls,803.101942,5.000522,True,645.171264,80.334915
n100_m2_r08.txt,data\mtsp\generated\n100_m2_r08.txt,100,2,2opt+greed,966.3582487601541,0.000559,True,ortools-gls,803.101942,5.000522,True,163.256307,20.328217
n100_m2_r08.txt,data\mtsp\generated\n100_m2_r08.txt,100,2,grasp,855.3538126606497,0.292425,True,ortools-gls,803.101942,5.000522,True,52.251871,6.506256
n100_m2_r08.txt,data\mtsp\generated\n100_m2_r08.txt,100,2,lkh-wrapper,862.3903381289863,0.012751,True,ortools-gls,803.101942,5.000522,True,59.288396,7.382425
n100_m2_r09.txt,data\mtsp\generated\n100_m2_r09.txt,100,2,rand+nn,1286.674495338066,0.000476,True,ortools-gls,798.156477,5.000594,True,488.518018,61.205795
n100_m2_r09.txt,data\mtsp\generated\n100_m2_r09.txt,100,2,2opt+greed,912.1733886602785,0.000608,True,ortools-gls,798.156477,5.000594,True,114.016912,14.285032
n100_m2_r09.txt,data\mtsp\generated\n100_m2_r09.txt,100,2,grasp,868.7825277349334,0.273276,True,ortools-gls,798.156477,5.000594,True,70.626051,8.848647
n100_m2_r09.txt,data\mtsp\generated\n100_m2_r09.txt,100,2,lkh-wrapper,876.1530636604247,0.007296,True,ortools-gls,798.156477,5.000594,True,77.996587,9.772092
n100_m2_r10.txt,data\mtsp\generated\n100_m2_r10.txt,100,2,rand+nn,1310.5678217601608,0.000454,True,ortools-gls,804.87552,5.000594,True,505.692302,62.828635
