node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,reference_solver,avg_reference_objective,avg_reference_time_seconds,avg_objective_gap,avg_relative_gap_percent,valid_runs,reference_valid_runs,better_than_reference_runs
20,2,2opt+greed,10,484.957939,0.000287,ortools-gls,365.718201,5.000524,119.239738,32.503125,10,10,0
20,2,grasp,10,405.591497,0.003569,ortools-gls,365.718201,5.000524,39.873296,11.020028,10,10,0
20,2,lkh-wrapper,10,449.109137,0.000504,ortools-gls,365.718201,5.000524,83.390936,23.081994,10,10,0
20,2,rand+nn,10,616.920139,0.00025,ortools-gls,365.718201,5.000524,251.201938,68.696203,10,10,0
20,3,2opt+greed,10,570.803406,0.000233,ortools-gls,378.998311,5.001058,191.805095,50.974793,10,10,0
20,3,grasp,10,470.6298,0.004443,ortools-gls,378.998311,5.001058,91.631489,24.392136,10,10,0
20,3,lkh-wrapper,10,509.355975,0.000371,ortools-gls,378.998311,5.001058,130.357664,34.458318,10,10,0
20,3,rand+nn,10,757.719122,0.000265,ortools-gls,378.998311,5.001058,378.720811,100.346345,10,10,0
20,5,2opt+greed,10,819.572023,0.000235,ortools-gls,401.735001,5.00052,417.837023,104.687124,10,10,0
20,5,grasp,10,613.46977,0.005758,ortools-gls,401.735001,5.00052,211.73477,52.928651,10,10,0
20,5,lkh-wrapper,10,652.414656,0.000452,ortools-gls,401.735001,5.00052,250.679656,62.459683,10,10,0
20,5,rand+nn,10,1016.190575,0.000287,ortools-gls,401.735001,5.00052,614.455574,153.339625,10,10,0
50,2,2opt+greed,10,736.455674,0.000584,ortools-gls,577.569335,5.000956,158.886338,27.863567,10,10,0
50,2,grasp,10,622.408181,0.043704,ortools-gls,577.569335,5.000956,44.838845,7.845792,10,10,0
50,2,lkh-wrapper,10,664.584501,0.003066,ortools-gls,577.569335,5.000956,87.015166,15.302939,10,10,0
50,2,rand+nn,10,982.556101,0.000318,ortools-gls,577.569335,5.000956,404.986765,70.276147,10,10,0
50,3,2opt+greed,10,812.057199,0.000319,ortools-gls,579.231547,5.000724,232.825653,40.096576,10,10,0
50,3,grasp,10,672.44794,0.069361,ortools-gls,579.231547,5.000724,93.216394,16.071755,10,10,0
50,3,lkh-wrapper,10,713.023853,0.002739,ortools-gls,579.231547,5.000724,133.792306,23.05061,10,10,0
50,3,rand+nn,10,1240.074712,0.000307,ortools-gls,579.231547,5.000724,660.843165,114.339888,10,10,0
50,5,2opt+greed,10,1105.531369,0.000368,ortools-gls,588.167659,5.000529,517.36371,88.748036,10,10,0
50,5,grasp,10,812.929237,0.065604,ortools-gls,588.167659,5.000529,224.761578,38.418677,10,10,0
50,5,lkh-wrapper,10,950.142333,0.002391,ortools-gls,588.167659,5.000529,361.974674,61.863715,10,10,0
50,5,rand+nn,10,1623.602636,0.000344,ortools-gls,588.167659,5.000529,1035.434977,176.172384,10,10,0
100,2,2opt+greed,10,953.271029,0.000568,ortools-gls,787.748738,5.000851,165.522291,21.131817,10,10,0
100,2,grasp,10,851.164041,0.285686,ortools-gls,787.748738,5.000851,63.415303,8.055111,10,10,0
100,2,lkh-wrapper,10,874.246837,0.011842,ortools-gls,787.748738,5.000851,86.498099,11.125438,10,10,0
100,2,rand+nn,10,1339.255606,0.000465,ortools-gls,787.748738,5.000851,551.506868,70.191906,10,10,0
100,3,2opt+greed,10,1147.048302,0.000664,ortools-gls,827.635909,5.000794,319.412393,38.687881,10,10,0
100,3,grasp,10,952.659211,0.493671,ortools-gls,827.635909,5.000794,125.023302,15.122073,10,10,0
100,3,lkh-wrapper,10,1009.844409,0.016036,ortools-gls,827.635909,5.000794,182.208501,22.073193,10,10,0
100,3,rand+nn,10,1710.61379,0.000499,ortools-gls,827.635909,5.000794,882.977881,106.783466,10,10,0
100,5,2opt+greed,10,1364.99256,0.000535,ortools-gls,805.521668,5.001027,559.470893,69.422469,10,10,0
100,5,grasp,10,1039.689838,0.748519,ortools-gls,805.521668,5.001027,234.16817,29.081519,10,10,0
100,5,lkh-wrapper,10,1184.915116,0.018492,ortools-gls,805.521668,5.001027,379.393448,47.159814,10,10,0
100,5,rand+nn,10,2183.850656,0.000482,ortools-gls,805.521668,5.001027,1378.328988,171.257228,10,10,0
200,2,2opt+greed,10,1305.437464,0.001534,ortools-gls,1136.093844,5.000955,169.34362,14.888175,10,10,0
200,2,grasp,10,1225.878596,2.120087,ortools-gls,1136.093844,5.000955,89.784753,7.940215,10,10,0
200,2,lkh-wrapper,10,1212.738036,0.088065,ortools-gls,1136.093844,5.000955,76.644193,6.75643,10,10,1
200,2,rand+nn,10,1883.076162,0.001546,ortools-gls,1136.093844,5.000955,746.982318,65.778758,10,10,0
200,3,2opt+greed,10,1423.627008,0.001721,ortools-gls,1143.027631,5.000962,280.599378,24.594036,10,10,0
200,3,grasp,10,1320.129309,3.142067,ortools-gls,1143.027631,5.000962,177.101678,15.517596,10,10,0
200,3,lkh-wrapper,10,1305.862695,0.079455,ortools-gls,1143.027631,5.000962,162.835064,14.305717,10,10,0
200,3,rand+nn,10,2388.685383,0.001108,ortools-gls,1143.027631,5.000962,1245.657752,109.074536,10,10,0
200,5,2opt+greed,10,1791.491095,0.001848,ortools-gls,1153.235162,5.000902,638.255934,55.35549,10,10,0
200,5,grasp,10,1415.91498,5.734121,ortools-gls,1153.235162,5.000902,262.679818,22.832757,10,10,0
200,5,lkh-wrapper,10,1544.082737,0.129849,ortools-gls,1153.235162,5.000902,390.847575,33.89503,10,10,0
200,5,rand+nn,10,3118.315769,0.001174,ortools-gls,1153.235162,5.000902,1965.080607,170.506985,10,10,0
