node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,avg_step_time_seconds,valid_runs
20,2,2opt+greed,10,484.957939,0.000287,0.000281,10
20,2,grasp,10,405.591497,0.003569,0.003563,10
20,2,lkh-wrapper,10,449.109137,0.000504,0.000498,10
20,2,rand+nn,10,616.920139,0.00025,0.000245,10
20,3,2opt+greed,10,570.803406,0.000233,0.000228,10
20,3,grasp,10,470.6298,0.004443,0.004437,10
20,3,lkh-wrapper,10,509.355975,0.000371,0.000366,10
20,3,rand+nn,10,757.719122,0.000265,0.000257,10
20,5,2opt+greed,10,819.572023,0.000235,0.000229,10
20,5,grasp,10,613.46977,0.005758,0.005751,10
20,5,lkh-wrapper,10,652.414656,0.000452,0.000445,10
20,5,rand+nn,10,1016.190575,0.000287,0.000281,10
50,2,2opt+greed,10,736.455674,0.000584,0.000578,10
50,2,grasp,10,622.408181,0.043704,0.043696,10
50,2,lkh-wrapper,10,664.584501,0.003066,0.003059,10
50,2,rand+nn,10,982.556101,0.000318,0.00031,10
50,3,2opt+greed,10,812.057199,0.000319,0.000313,10
50,3,grasp,10,672.44794,0.069361,0.069351,10
50,3,lkh-wrapper,10,713.023853,0.002739,0.002731,10
50,3,rand+nn,10,1240.074712,0.000307,0.000301,10
50,5,2opt+greed,10,1105.531369,0.000368,0.000356,10
50,5,grasp,10,812.929237,0.065604,0.065594,10
50,5,lkh-wrapper,10,950.142333,0.002391,0.002383,10
50,5,rand+nn,10,1623.602636,0.000344,0.000338,10
100,2,2opt+greed,10,953.271029,0.000568,0.000562,10
100,2,grasp,10,851.164041,0.285686,0.285674,10
100,2,lkh-wrapper,10,874.246837,0.011842,0.011829,10
100,2,rand+nn,10,1339.255606,0.000465,0.000458,10
100,3,2opt+greed,10,1147.048302,0.000664,0.000658,10
100,3,grasp,10,952.659211,0.493671,0.493657,10
100,3,lkh-wrapper,10,1009.844409,0.016036,0.016021,10
100,3,rand+nn,10,1710.61379,0.000499,0.000493,10
100,5,2opt+greed,10,1364.99256,0.000535,0.000529,10
100,5,grasp,10,1039.689838,0.748519,0.748496,10
100,5,lkh-wrapper,10,1184.915116,0.018492,0.018471,10
100,5,rand+nn,10,2183.850656,0.000482,0.000475,10
200,2,2opt+greed,10,1305.437464,0.001534,0.001527,10
200,2,grasp,10,1225.878596,2.120087,2.120072,10
200,2,lkh-wrapper,10,1212.738036,0.088065,0.088046,10
200,2,rand+nn,10,1883.076162,0.001546,0.001539,10
200,3,2opt+greed,10,1423.627008,0.001721,0.001713,10
200,3,grasp,10,1320.129309,3.142067,3.14205,10
200,3,lkh-wrapper,10,1305.862695,0.079455,0.079439,10
200,3,rand+nn,10,2388.685383,0.001108,0.0011,10
200,5,2opt+greed,10,1791.491095,0.001848,0.001839,10
200,5,grasp,10,1415.91498,5.734121,5.734088,10
200,5,lkh-wrapper,10,1544.082737,0.129849,0.12983,10
200,5,rand+nn,10,3118.315769,0.001174,0.001166,10
