solver,n,m,seed,budget_ms,objective,valid,wall_seconds,solver_seconds,file
2optgreed,1000,3,7,,14820.126693703722,True,0.016076,0.016076,2optgreed_n1000_m3_seed7.json
2optgreed,1000,3,13,,14820.126693703722,True,0.014507,0.014507,2optgreed_n1000_m3_seed13.json
2optgreed,1000,3,42,,14820.126693703722,True,0.014448,0.014448,2optgreed_n1000_m3_seed42.json
filo2,1000,3,7,,11887.548782638838,True,31.166431665420532,30.083433389663696,filo2_n1000_m3_seed7.json
filo2,1000,3,13,,11880.363698233317,True,30.669498682022095,30.084632873535156,filo2_n1000_m3_seed13.json
filo2,1000,3,42,,11850.205332638165,True,31.21292805671692,30.09228539466858,filo2_n1000_m3_seed42.json
lkh3,1000,3,7,,11627.650951161084,True,8.194817,8.194817,lkh3_n1000_m3_seed7.json
lkh3,1000,3,13,,11627.650951161084,True,8.088304,8.088304,lkh3_n1000_m3_seed13.json
lkh3,1000,3,42,,11627.650951161084,True,15.383247,15.383247,lkh3_n1000_m3_seed42.json
v19,1000,3,7,30000,12970.397899691212,True,0.488681,0.488681,v19_n1000_m3_seed7_t30000.json
v19,1000,3,13,30000,13411.312936656956,True,0.427679,0.427679,v19_n1000_m3_seed13_t30000.json
v19,1000,3,42,30000,13063.354682390072,True,0.520687,0.520687,v19_n1000_m3_seed42_t30000.json
2optgreed,1000,5,7,,16881.45564364888,True,0.011469,0.011469,2optgreed_n1000_m5_seed7.json
2optgreed,1000,5,13,,16881.45564364888,True,0.012374,0.012374,2optgreed_n1000_m5_seed13.json
2optgreed,1000,5,42,,16881.45564364888,True,0.011584,0.011584,2optgreed_n1000_m5_seed42.json
filo2,1000,5,7,,11934.510694097677,True,30.172932147979736,30.12676763534546,filo2_n1000_m5_seed7.json
filo2,1000,5,13,,11953.732208907222,True,31.325100660324097,30.084835052490234,filo2_n1000_m5_seed13.json
filo2,1000,5,42,,11987.666482115783,True,31.840077877044678,30.0704984664917,filo2_n1000_m5_seed42.json
lkh3,1000,5,7,,11571.199128493688,True,6.780189,6.780189,lkh3_n1000_m5_seed7.json
lkh3,1000,5,13,,11571.199128493688,True,7.309359,7.309359,lkh3_n1000_m5_seed13.json
lkh3,1000,5,42,,11571.199128493688,True,7.57041,7.57041,lkh3_n1000_m5_seed42.json
v19,1000,5,7,30000,13098.080855155422,True,0.502515,0.502515,v19_n1000_m5_seed7_t30000.json
v19,1000,5,13,30000,13113.991858170084,True,0.492762,0.492762,v19_n1000_m5_seed13_t30000.json
v19,1000,5,42,30000,13241.037362311665,True,0.523855,0.523855,v19_n1000_m5_seed42_t30000.json
2optgreed,1000,7,7,,16930.08882836686,True,0.011382,0.011382,2optgreed_n1000_m7_seed7.json
2optgreed,1000,7,13,,16930.08882836686,True,0.010032,0.010032,2optgreed_n1000_m7_seed13.json
2optgreed,1000,7,42,,16930.08882836686,True,0.008588,0.008588,2optgreed_n1000_m7_seed42.json
filo2,1000,7,7,,12332.666457143863,True,32.021244049072266,31.034101724624634,filo2_n1000_m7_seed7.json
filo2,1000,7,13,,12309.252341989339,True,30.774356603622437,30.095091819763184,filo2_n1000_m7_seed13.json
filo2,1000,7,42,,12409.871638396624,True,30.703080415725708,30.066141843795776,filo2_n1000_m7_seed42.json
lkh3,1000,7,7,,11665.226430383249,True,9.079777,9.079777,lkh3_n1000_m7_seed7.json
lkh3,1000,7,13,,11665.226430383249,True,9.44352,9.44352,lkh3_n1000_m7_seed13.json
lkh3,1000,7,42,,11665.226430383249,True,9.746336,9.746336,lkh3_n1000_m7_seed42.json
v19,1000,7,7,30000,13522.1016127025,True,1.46385,1.46385,v19_n1000_m7_seed7_t30000.json
v19,1000,7,13,30000,13528.035123054235,True,1.574211,1.574211,v19_n1000_m7_seed13_t30000.json
v19,1000,7,42,30000,13535.711069775327,True,1.002542,1.002542,v19_n1000_m7_seed42_t30000.json
2optgreed,5000,5,7,,169128.85074439552,True,0.13707,0.13707,2optgreed_n5000_m5_seed7.json
2optgreed,5000,5,13,,169128.85074439552,True,0.126955,0.126955,2optgreed_n5000_m5_seed13.json
2optgreed,5000,5,42,,169128.85074439552,True,0.439185,0.439185,2optgreed_n5000_m5_seed42.json
filo2,5000,5,7,,130151.21207698953,True,62.59640097618103,60.05113482475281,filo2_n5000_m5_seed7.json
filo2,5000,5,13,,131709.42003814215,True,62.470099449157715,60.04524326324463,filo2_n5000_m5_seed13.json
filo2,5000,5,42,,142527.3266256466,True,78.9903838634491,77.55917096138,filo2_n5000_m5_seed42.json
lkh3,5000,5,7,,127020.34640159209,True,72.738311,72.738311,lkh3_n5000_m5_seed7.json
lkh3,5000,5,13,,127020.34640159209,True,71.62337,71.62337,lkh3_n5000_m5_seed13.json
lkh3,5000,5,42,,127020.34640159209,True,78.590135,78.590135,lkh3_n5000_m5_seed42.json
v19,5000,5,7,30000,151897.0730868653,True,30.15482,30.15482,v19_n5000_m5_seed7_t30000.json
v19,5000,5,13,30000,150870.6250089835,True,30.155571,30.155571,v19_n5000_m5_seed13_t30000.json
v19,5000,5,42,30000,154161.75398220966,True,30.343911,30.343911,v19_n5000_m5_seed42_t30000.json
