instance_family,node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,avg_step_time_seconds,valid_runs
uniform,500,3,2opt+greed,3,2103.478537,0.00141,0.001394,3
uniform,500,3,lkh-wrapper-v21,3,1745.988987,3.440287,3.440228,3
uniform,500,3,lkh3-baseline,3,1667.490413,1.467244,1.467196,3
uniform,500,3,lkh3-baseline-minmax,3,1708.949753,48.672031,48.672007,3
uniform,500,3,lkh_v21_minmax,3,1789.465824,13.30888,13.308756,3
uniform,500,3,lkh_v21_minsum,3,1700.98549,13.306651,13.306485,3
uniform,500,3,lkh_v21_minsum_cap,3,1701.957071,13.277016,13.276914,3
uniform,500,3,lkh_v21_minsum_depot2m_plus,3,1697.115676,55.447762,55.44761,3
uniform,500,5,2opt+greed,3,2544.777054,0.000823,0.00081,3
uniform,500,5,lkh-wrapper-v21,3,1730.136065,3.261971,3.261916,3
uniform,500,5,lkh3-baseline,3,1665.027355,1.104066,1.10404,3
uniform,500,5,lkh3-baseline-minmax,3,1767.345472,50.970261,50.970227,3
uniform,500,5,lkh_v21_minmax,3,1848.247802,13.276705,13.27656,3
uniform,500,5,lkh_v21_minsum,3,1666.721712,13.265293,13.265207,3
uniform,500,5,lkh_v21_minsum_cap,3,1722.629829,13.272104,13.27202,3
uniform,500,5,lkh_v21_minsum_depot2m_plus,3,1687.762611,55.412286,55.412148,3
uniform,1000,3,2opt+greed,3,2959.43099,0.006845,0.006805,3
uniform,1000,3,lkh-wrapper-v21,3,2504.924529,20.705023,20.704958,3
uniform,1000,3,lkh3-baseline,3,2312.657587,7.263614,7.263588,3
uniform,1000,3,lkh3-baseline-minmax,3,2362.669718,200.201793,200.201761,3
uniform,1000,3,lkh_v21_minmax,3,2532.860765,13.335174,13.335052,3
uniform,1000,3,lkh_v21_minsum,3,2390.020346,13.292172,13.292065,3
uniform,1000,3,lkh_v21_minsum_cap,3,2375.707088,13.33334,13.333168,3
uniform,1000,3,lkh_v21_minsum_depot2m_plus,3,2386.695706,55.572196,55.572048,3
uniform,1000,5,2opt+greed,3,3243.87949,0.004591,0.004566,3
uniform,1000,5,lkh-wrapper-v21,3,2539.399355,7.836344,7.836259,3
uniform,1000,5,lkh3-baseline,3,2307.370549,7.43214,7.432113,3
uniform,1000,5,lkh3-baseline-minmax,3,2431.172662,668.582251,668.582161,3
uniform,1000,5,lkh_v21_minmax,3,2609.324937,13.31545,13.315315,3
uniform,1000,5,lkh_v21_minsum,3,2395.00047,13.299465,13.299351,3
uniform,1000,5,lkh_v21_minsum_cap,3,2460.628845,13.284534,13.284367,3
uniform,1000,5,lkh_v21_minsum_depot2m_plus,3,2384.773334,55.588438,55.588306,3
clustered-center,500,3,2opt+greed,3,1484.456008,0.001494,0.00148,3
clustered-center,500,3,lkh-wrapper-v21,3,1202.837817,4.656245,4.656171,3
clustered-center,500,3,lkh3-baseline,3,1110.969864,2.550805,2.55074,3
clustered-center,500,3,lkh3-baseline-minmax,3,1159.601793,49.053659,49.053636,3
clustered-center,500,3,lkh_v21_minmax,3,1228.622473,13.248615,13.248424,3
clustered-center,500,3,lkh_v21_minsum,3,1125.699275,13.286095,13.285906,3
clustered-center,500,3,lkh_v21_minsum_cap,3,1133.104992,13.299731,13.299562,3
clustered-center,500,3,lkh_v21_minsum_depot2m_plus,3,1125.475013,55.427263,55.427115,3
clustered-center,500,5,2opt+greed,3,1743.128355,0.001025,0.00101,3
clustered-center,500,5,lkh-wrapper-v21,3,1240.022782,3.613513,3.613431,3
clustered-center,500,5,lkh3-baseline,3,1146.975177,2.538465,2.538438,3
clustered-center,500,5,lkh3-baseline-minmax,3,1227.81456,79.882067,79.882038,3
clustered-center,500,5,lkh_v21_minmax,3,1221.042115,13.321773,13.321674,3
clustered-center,500,5,lkh_v21_minsum,3,1121.256348,13.274665,13.274518,3
clustered-center,500,5,lkh_v21_minsum_cap,3,1172.081072,13.290707,13.2906,3
clustered-center,500,5,lkh_v21_minsum_depot2m_plus,3,1165.193009,55.45313,55.452902,3
clustered-center,1000,3,2opt+greed,3,1880.869688,0.009015,0.008978,3
clustered-center,1000,3,lkh-wrapper-v21,3,1677.332287,18.027445,18.027389,3
clustered-center,1000,3,lkh3-baseline,3,1508.44637,6.1863,6.186257,3
clustered-center,1000,3,lkh3-baseline-minmax,3,1544.166499,202.124155,202.124117,3
clustered-center,1000,3,lkh_v21_minmax,3,1660.614128,13.341903,13.341757,3
clustered-center,1000,3,lkh_v21_minsum,3,1560.290736,13.311266,13.310636,3
clustered-center,1000,3,lkh_v21_minsum_cap,3,1559.667575,13.355436,13.35535,3
clustered-center,1000,3,lkh_v21_minsum_depot2m_plus,3,1562.34989,55.551142,55.551005,3
clustered-center,1000,5,2opt+greed,3,2158.298535,0.00521,0.005182,3
clustered-center,1000,5,lkh-wrapper-v21,3,1798.098589,8.447148,8.447091,3
clustered-center,1000,5,lkh3-baseline,3,1547.9206,6.81747,6.817439,3
clustered-center,1000,5,lkh3-baseline-minmax,3,1635.896982,432.961225,432.961202,3
clustered-center,1000,5,lkh_v21_minmax,3,1738.715258,13.295191,13.295092,3
clustered-center,1000,5,lkh_v21_minsum,3,1596.848664,13.319244,13.319135,3
clustered-center,1000,5,lkh_v21_minsum_cap,3,1632.874092,13.330091,13.329968,3
clustered-center,1000,5,lkh_v21_minsum_depot2m_plus,3,1592.858012,55.685578,55.685456,3
