instance_family,node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,avg_step_time_seconds,valid_runs
uniform,500,3,2opt+greed,3,2103.478537,0.002741,0.002704,3
uniform,500,3,lkh-wrapper-v20,3,1842.154505,0.133871,0.133736,3
uniform,500,3,lkh-wrapper-v21,3,1745.988987,7.186993,7.186862,3
uniform,500,3,lkh3-baseline,3,1667.490413,2.289203,2.289154,3
uniform,500,3,rand+nn,3,3625.47489,0.00053,0.000496,3
uniform,500,5,2opt+greed,3,2544.777054,0.001995,0.001966,3
uniform,500,5,lkh-wrapper-v20,3,2001.457025,0.290451,0.290319,3
uniform,500,5,lkh-wrapper-v21,3,1730.136065,5.63911,5.638987,3
uniform,500,5,lkh3-baseline,3,1665.027355,2.13666,2.136595,3
uniform,500,5,rand+nn,3,4842.531608,0.000257,0.000227,3
uniform,1000,3,2opt+greed,3,2959.43099,0.036932,0.036826,3
uniform,1000,3,lkh-wrapper-v20,3,2628.012432,0.721046,0.720856,3
uniform,1000,3,lkh-wrapper-v21,3,2519.052351,29.309288,29.309117,3
uniform,1000,3,lkh3-baseline,3,2312.657587,14.759823,14.759711,3
uniform,1000,3,rand+nn,3,5106.893346,0.005025,0.004879,3
uniform,1000,5,2opt+greed,3,3243.87949,0.020523,0.020427,3
uniform,1000,5,lkh-wrapper-v20,3,2692.668262,0.995033,0.994872,3
uniform,1000,5,lkh-wrapper-v21,3,2551.054902,25.83639,25.836224,3
uniform,1000,5,lkh3-baseline,3,2307.370549,13.75886,13.758786,3
uniform,1000,5,rand+nn,3,6709.280291,0.001877,0.001814,3
clustered-center,500,3,2opt+greed,3,1484.456008,0.005357,0.005286,3
clustered-center,500,3,lkh-wrapper-v20,3,1305.786492,0.155638,0.155479,3
clustered-center,500,3,lkh-wrapper-v21,3,1202.837817,13.027931,13.02774,3
clustered-center,500,3,lkh3-baseline,3,1110.969864,4.662777,4.662714,3
clustered-center,500,3,rand+nn,3,2473.470297,0.000883,0.000821,3
clustered-center,500,5,2opt+greed,3,1743.128355,0.00374,0.003671,3
clustered-center,500,5,lkh-wrapper-v20,3,1420.790716,0.326754,0.326593,3
clustered-center,500,5,lkh-wrapper-v21,3,1240.022782,8.899332,8.89915,3
clustered-center,500,5,lkh3-baseline,3,1146.975177,4.820557,4.82049,3
clustered-center,500,5,rand+nn,3,3122.400191,0.000631,0.000577,3
clustered-center,1000,3,2opt+greed,3,1880.869688,0.037417,0.037277,3
clustered-center,1000,3,lkh-wrapper-v20,3,1713.443115,0.52151,0.521324,3
clustered-center,1000,3,lkh-wrapper-v21,3,1688.916471,29.311127,29.310913,3
clustered-center,1000,3,lkh3-baseline,3,1508.44637,12.368447,12.368365,3
clustered-center,1000,3,rand+nn,3,3264.784773,0.003526,0.003425,3
clustered-center,1000,5,2opt+greed,3,2158.298535,0.023814,0.023697,3
clustered-center,1000,5,lkh-wrapper-v20,3,1837.917565,1.267887,1.267696,3
clustered-center,1000,5,lkh-wrapper-v21,3,1801.999995,29.300354,29.300152,3
clustered-center,1000,5,lkh3-baseline,3,1547.9206,14.68848,14.688405,3
clustered-center,1000,5,rand+nn,3,4251.328108,0.003074,0.002957,3
