instance_family,node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,avg_step_time_seconds,valid_runs
uniform,5000,3,ortools-GLS,1,155449.649109,70.004317,70.004317,1
uniform,5000,5,ortools-GLS,1,156853.502406,70.005169,70.005169,1
uniform,5000,7,ortools-GLS,1,160899.865106,70.037492,70.037492,1
uniform,10000,3,ortools-GLS,1,443276.340485,70.061328,70.061328,1
uniform,10000,5,ortools-GLS,1,451091.029241,70.034729,70.034729,1
uniform,10000,7,ortools-GLS,1,453004.527958,70.306416,70.306416,1
clustered-center,5000,3,ortools-GLS,1,38947.025507,70.061533,70.061533,1
clustered-center,5000,5,ortools-GLS,1,34964.94249,70.005456,70.005456,1
clustered-center,5000,7,ortools-GLS,1,41977.168062,70.008171,70.008171,1
clustered-center,10000,3,ortools-GLS,1,105624.540196,70.315883,70.315883,1
clustered-center,10000,5,ortools-GLS,1,94657.786502,70.086858,70.086858,1
clustered-center,10000,7,ortools-GLS,1,113338.505612,70.05924,70.05924,1
clustered-offset-depot,5000,3,ortools-GLS,1,40612.090614,70.07253,70.07253,1
clustered-offset-depot,5000,5,ortools-GLS,1,43649.575828,70.075379,70.075379,1
clustered-offset-depot,5000,7,ortools-GLS,1,49826.48404,70.006036,70.006036,1
clustered-offset-depot,10000,3,ortools-GLS,1,105224.565278,70.061304,70.061304,1
clustered-offset-depot,10000,5,ortools-GLS,1,114629.631472,70.139187,70.139187,1
clustered-offset-depot,10000,7,ortools-GLS,1,131276.861296,70.011642,70.011642,1
