node_count,solver,runs,avg_length,avg_time_seconds,avg_step_time_seconds
20,genetic,5,3751.219789,0.019737,0.019732
20,lkh,5,3696.866251,8.6e-05,8.4e-05
20,memetic,5,3696.866251,0.012271,0.012265
20,nearest,5,4189.870316,4e-06,2e-06
20,vns,5,3696.866251,0.002081,0.002071
50,genetic,5,6135.051157,0.022664,0.022659
50,lkh,5,5526.843055,0.000574,0.000572
50,memetic,5,5479.706927,0.02011,0.0201
50,nearest,5,6698.099517,1e-05,8e-06
50,vns,5,5486.674508,0.003265,0.003254
100,genetic,5,8427.809311,0.026358,0.026349
100,lkh,5,7512.958045,0.002816,0.002812
100,memetic,5,7430.651292,0.042037,0.042032
100,nearest,5,8867.689097,2e-05,1.8e-05
100,vns,5,7370.646489,0.008807,0.008793
200,genetic,5,12724.20919,0.041691,0.041681
200,lkh,5,10776.882079,0.00771,0.007705
200,memetic,5,10697.903745,0.092053,0.092046
200,nearest,5,13072.971682,0.000108,0.000105
200,vns,5,10639.401244,0.018793,0.018782
