"instance_family","instance","node_count","salesman_count","v4_objective","v5_objective","objective_gap_v5_minus_v4","relative_gap_percent_vs_v4","better_quality","v4_time_seconds","v5_time_seconds","time_delta_seconds_v5_minus_v4","speedup_percent_of_v5_vs_v4","faster_solver"
"clustered-center","clustered-center_n25000_m5_r01.txt","25000","5","11366265.225146","15350678.76068","3984413.535534","35.05473","lkh-wrapper-v4","359.913046","323.055786","-36.85726","10.240601","lkh-wrapper-v5"
"clustered-center","clustered-center_n25000_m7_r01.txt","25000","7","14037412.127582","16354216.400634","2316804.273052","16.504497","lkh-wrapper-v4","347.709091","314.032082","-33.677009","9.685398","lkh-wrapper-v5"
"clustered-offset-depot","clustered-offset-depot_n25000_m5_r01.txt","25000","5","13704099.136092","14659471.231655","955372.095563","6.971433","lkh-wrapper-v4","357.761432","331.884551","-25.876881","7.232999","lkh-wrapper-v5"
"clustered-offset-depot","clustered-offset-depot_n25000_m7_r01.txt","25000","7","13544869.055988","14550096.879216","1005227.823229","7.421466","lkh-wrapper-v4","359.621855","312.508262","-47.113593","13.10087","lkh-wrapper-v5"
"high-m-stress","high-m-stress_n25000_m5_r01.txt","25000","5","14143354.465624","18812475.022115","4669120.556491","33.012823","lkh-wrapper-v4","366.046885","312.808963","-53.237922","14.544017","lkh-wrapper-v5"
"high-m-stress","high-m-stress_n25000_m7_r01.txt","25000","7","13106222.815839","18129219.042935","5022996.227096","38.325277","lkh-wrapper-v4","358.872194","334.7794","-24.092794","6.713475","lkh-wrapper-v5"
"mixed","mixed_n25000_m5_r01.txt","25000","5","19295200.600605","29545681.837927","10250481.237323","53.124512","lkh-wrapper-v4","375.043214","326.573672","-48.469542","12.923722","lkh-wrapper-v5"
"mixed","mixed_n25000_m7_r01.txt","25000","7","17900701.086785","26616361.246607","8715660.159823","48.688932","lkh-wrapper-v4","370.980342","321.771926","-49.208416","13.264427","lkh-wrapper-v5"
"outliers","outliers_n25000_m5_r01.txt","25000","5","21992055.717614","31825925.223086","9833869.505472","44.715554","lkh-wrapper-v4","348.93867","337.57394","-11.36473","3.256942","lkh-wrapper-v5"
"outliers","outliers_n25000_m7_r01.txt","25000","7","17168675.229231","22689840.931714","5521165.702483","32.158368","lkh-wrapper-v4","352.56634","334.261885","-18.304455","5.191776","lkh-wrapper-v5"
"uniform","uniform_n25000_m5_r01.txt","25000","5","55438309.759887","59671412.390407","4233102.630519","7.635699","lkh-wrapper-v4","350.63551","323.070979","-27.564531","7.861306","lkh-wrapper-v5"
"uniform","uniform_n25000_m7_r01.txt","25000","7","48041749.056713","50374727.146042","2332978.089329","4.856147","lkh-wrapper-v4","344.154257","307.454262","-36.699995","10.663821","lkh-wrapper-v5"
