instance_family,node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,avg_step_time_seconds,valid_runs
uniform,25000,5,lkh-wrapper-v4,1,55438309.759887,350.63551,350.625117,1
uniform,25000,5,lkh-wrapper-v5,1,59671412.390407,323.070979,323.063406,1
uniform,25000,7,lkh-wrapper-v4,1,48041749.056713,344.154257,344.138354,1
uniform,25000,7,lkh-wrapper-v5,1,50374727.146042,307.454262,307.449217,1
clustered-center,25000,5,lkh-wrapper-v4,1,11366265.225146,359.913046,359.889076,1
clustered-center,25000,5,lkh-wrapper-v5,1,15350678.76068,323.055786,323.04469,1
clustered-center,25000,7,lkh-wrapper-v4,1,14037412.127582,347.709091,347.695645,1
clustered-center,25000,7,lkh-wrapper-v5,1,16354216.400634,314.032082,314.019583,1
clustered-offset-depot,25000,5,lkh-wrapper-v4,1,13704099.136092,357.761432,357.741613,1
clustered-offset-depot,25000,5,lkh-wrapper-v5,1,14659471.231655,331.884551,331.869867,1
clustered-offset-depot,25000,7,lkh-wrapper-v4,1,13544869.055988,359.621855,359.611842,1
clustered-offset-depot,25000,7,lkh-wrapper-v5,1,14550096.879216,312.508262,312.500748,1
outliers,25000,5,lkh-wrapper-v4,1,21992055.717614,348.93867,348.925409,1
outliers,25000,5,lkh-wrapper-v5,1,31825925.223086,337.57394,337.563766,1
outliers,25000,7,lkh-wrapper-v4,1,17168675.229231,352.56634,352.554734,1
outliers,25000,7,lkh-wrapper-v5,1,22689840.931714,334.261885,334.242823,1
mixed,25000,5,lkh-wrapper-v4,1,19295200.600605,375.043214,375.027338,1
mixed,25000,5,lkh-wrapper-v5,1,29545681.837927,326.573672,326.560328,1
mixed,25000,7,lkh-wrapper-v4,1,17900701.086785,370.980342,370.96659,1
mixed,25000,7,lkh-wrapper-v5,1,26616361.246607,321.771926,321.760459,1
high-m-stress,25000,5,lkh-wrapper-v4,1,14143354.465624,366.046885,366.024889,1
high-m-stress,25000,5,lkh-wrapper-v5,1,18812475.022115,312.808963,312.800153,1
high-m-stress,25000,7,lkh-wrapper-v4,1,13106222.815839,358.872194,358.856604,1
high-m-stress,25000,7,lkh-wrapper-v5,1,18129219.042935,334.7794,334.768232,1
