"budget_ms","budget_label","node_count","instance_family","instance","solver","valid","objective","gap_pct","time_seconds","source"
"250","250ms","25000","mixed","mixed_n25000_m5_r01.txt","lkh-wrapper-v4","True","21699945.7613484","44.766","9.24405","fresh-run"
"250","250ms","25000","mixed","mixed_n25000_m5_r01.txt","lkh-wrapper-v6","False",,,"0.946347","fresh-run"
"250","250ms","25000","mixed","mixed_n25000_m5_r01.txt","lkh-wrapper-v7","True","14989653.2421314","0","0.25417","fresh-run"
"250","250ms","25000","uniform","uniform_n25000_m5_r01.txt","lkh-wrapper-v4","True","67575871.673544","81.276","9.315379","fresh-run"
"250","250ms","25000","uniform","uniform_n25000_m5_r01.txt","lkh-wrapper-v6","False",,,"0.7239","fresh-run"
"250","250ms","25000","uniform","uniform_n25000_m5_r01.txt","lkh-wrapper-v7","True","37277847.2673849","0","0.240864","fresh-run"
"250","250ms","50000","mixed","mixed_n50000_m5_r01.txt","lkh-wrapper-v4","True","80263174.7400644","0","19.986929","fresh-run"
"250","250ms","50000","mixed","mixed_n50000_m5_r01.txt","lkh-wrapper-v6","False",,,"2.074167","fresh-run"
"250","250ms","50000","mixed","mixed_n50000_m5_r01.txt","lkh-wrapper-v7","True","121448434.904936","51.313","0.400783","fresh-run"
"250","250ms","50000","uniform","uniform_n50000_m5_r01.txt","lkh-wrapper-v4","True","272936401.224777","41.9","20.783471","fresh-run"
"250","250ms","50000","uniform","uniform_n50000_m5_r01.txt","lkh-wrapper-v6","False",,,"1.853006","fresh-run"
"250","250ms","50000","uniform","uniform_n50000_m5_r01.txt","lkh-wrapper-v7","True","192344362.893775","0","0.312263","fresh-run"
"250","250ms","100000","mixed","mixed_n100000_m5_r01.txt","lkh-wrapper-v4","True","364230527.803506","0","46.595163","fresh-run"
"250","250ms","100000","mixed","mixed_n100000_m5_r01.txt","lkh-wrapper-v6","False",,,"6.124688","fresh-run"
