"instance_family","instance","path","node_count","salesman_count","solver","valid","status","objective","time_seconds","step_time_seconds","message","artifacts_dir"
"uniform","uniform_n1000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\uniform_n1000_m5_r01.txt","1000","5","lkh3-baseline","True","ok","11571.1991284937","11.665434","11.665358","","C:\Users\ddkup\AppData\Local\Temp\mtsp_lkh3_baseline_runs\run_1776979523443_52148_0"
"uniform","uniform_n1000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\uniform_n1000_m5_r01.txt","1000","5","lkh-wrapper-v4","True","ok","14095.5008264168","0.312076","0.312015","",""
"uniform","uniform_n1000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\uniform_n1000_m5_r01.txt","1000","5","lkh-wrapper-v7","True","ok","13863.0904174195","0.467237","0.467185","",""
"uniform","uniform_n5000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\uniform_n5000_m5_r01.txt","5000","5","lkh3-baseline","True","ok","127020.346401592","172.560739","172.560514","","C:\Users\ddkup\AppData\Local\Temp\mtsp_lkh3_baseline_runs\run_1776979730018_67304_0"
"uniform","uniform_n5000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\uniform_n5000_m5_r01.txt","5000","5","lkh-wrapper-v4","True","ok","165436.581705068","91.195092","91.192716","",""
"uniform","uniform_n5000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\uniform_n5000_m5_r01.txt","5000","5","lkh-wrapper-v7","True","ok","152434.823694377","103.502335","103.501943","",""
"mixed","mixed_n10000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\mixed_n10000_m5_r01.txt","10000","5","lkh3-baseline","True","ok","168208.149838304","256.298541","256.298406","","C:\Users\ddkup\AppData\Local\Temp\mtsp_lkh3_baseline_runs\run_1776980681868_10156_0"
"mixed","mixed_n10000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\mixed_n10000_m5_r01.txt","10000","5","lkh-wrapper-v4","True","ok","209487.946805903","172.50905","172.499594","",""
"mixed","mixed_n10000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\mixed_n10000_m5_r01.txt","10000","5","lkh-wrapper-v7","True","ok","215755.205955364","136.274023","136.272899","",""
"uniform","uniform_n10000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\uniform_n10000_m5_r01.txt","10000","5","lkh3-baseline","True","ok","359849.533663027","281.434376","281.434009","","C:\Users\ddkup\AppData\Local\Temp\mtsp_lkh3_baseline_runs\run_1776980091336_56108_0"
"uniform","uniform_n10000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\uniform_n10000_m5_r01.txt","10000","5","lkh-wrapper-v4","True","ok","494535.9091552","172.876564","172.868727","",""
"uniform","uniform_n10000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\uniform_n10000_m5_r01.txt","10000","5","lkh-wrapper-v7","True","ok","1620986.03080768","15.610927","15.610255","",""
