"instance_family","instance","node_count","salesman_count","solver","valid","status","objective","gap_pct","time_seconds","step_time_seconds","winner"
"uniform","uniform_n1000_m5_r01.txt","1000","5","lkh3-baseline","True","ok","11571.1991284937","0","11.665434","11.665358","True"
"uniform","uniform_n1000_m5_r01.txt","1000","5","lkh-wrapper-v4","True","ok","14095.5008264168","21.815","0.312076","0.312015","False"
"uniform","uniform_n1000_m5_r01.txt","1000","5","lkh-wrapper-v7","True","ok","13863.0904174195","19.807","0.467237","0.467185","False"
"uniform","uniform_n5000_m5_r01.txt","5000","5","lkh3-baseline","True","ok","127020.346401592","0","172.560739","172.560514","True"
"uniform","uniform_n5000_m5_r01.txt","5000","5","lkh-wrapper-v4","True","ok","165436.581705068","30.244","91.195092","91.192716","False"
"uniform","uniform_n5000_m5_r01.txt","5000","5","lkh-wrapper-v7","True","ok","152434.823694377","20.008","103.502335","103.501943","False"
"mixed","mixed_n10000_m5_r01.txt","10000","5","lkh3-baseline","True","ok","168208.149838304","0","256.298541","256.298406","True"
"mixed","mixed_n10000_m5_r01.txt","10000","5","lkh-wrapper-v4","True","ok","209487.946805903","24.541","172.50905","172.499594","False"
"mixed","mixed_n10000_m5_r01.txt","10000","5","lkh-wrapper-v7","True","ok","215755.205955364","28.267","136.274023","136.272899","False"
"uniform","uniform_n10000_m5_r01.txt","10000","5","lkh3-baseline","True","ok","359849.533663027","0","281.434376","281.434009","True"
"uniform","uniform_n10000_m5_r01.txt","10000","5","lkh-wrapper-v4","True","ok","494535.9091552","37.429","172.876564","172.868727","False"
"uniform","uniform_n10000_m5_r01.txt","10000","5","lkh-wrapper-v7","True","ok","1620986.03080768","350.462","15.610927","15.610255","False"
