"phase","instance_family","instance","path","node_count","salesman_count","solver","solver_budget_ms","wall_timeout_sec","start_time_utc","end_time_utc","wall_seconds","valid","status","objective","time_seconds","step_time_seconds","message","killed","exit_code","artifacts_dir"
"main","clustered-center","clustered-center_n10000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-center_n10000_m5_r01.txt","10000","5","lkh3-baseline","150000","300","2026-04-24T06:18:42.6062692Z","2026-04-24T06:22:21.1475108Z","218.541148","False","runner_error",,"218.541148",,"mtsp.exe exited with code .","False",,""
"main","clustered-center","clustered-center_n10000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-center_n10000_m5_r01.txt","10000","5","lkh-wrapper-v4","150000","300","2026-04-24T06:22:21.3969552Z","2026-04-24T06:24:00.3292523Z","98.931637","False","runner_error",,"98.931637",,"mtsp.exe exited with code .","False",,""
"main","clustered-center","clustered-center_n10000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-center_n10000_m5_r01.txt","10000","5","lkh-wrapper-v7","150000","300","2026-04-24T06:24:00.4054023Z","2026-04-24T06:26:16.3656140Z","135.959504","False","runner_error",,"135.959504",,"mtsp.exe exited with code .","False",,""
"main","clustered-offset-depot","clustered-offset-depot_n10000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-offset-depot_n10000_m5_r01.txt","10000","5","lkh3-baseline","150000","300","2026-04-24T06:26:16.4580580Z","2026-04-24T06:29:56.6063148Z","220.147851","False","runner_error",,"220.147851",,"mtsp.exe exited with code .","False",,""
"main","clustered-offset-depot","clustered-offset-depot_n10000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-offset-depot_n10000_m5_r01.txt","10000","5","lkh-wrapper-v4","150000","300","2026-04-24T06:29:56.6841522Z","2026-04-24T06:32:03.8901565Z","127.205034","False","runner_error",,"127.205034",,"mtsp.exe exited with code .","False",,""
"main","clustered-offset-depot","clustered-offset-depot_n10000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-offset-depot_n10000_m5_r01.txt","10000","5","lkh-wrapper-v7","150000","300","2026-04-24T06:32:03.9528956Z","2026-04-24T06:34:19.7941353Z","135.841856","False","runner_error",,"135.841856",,"mtsp.exe exited with code .","False",,""
"main","high-m-stress","high-m-stress_n10000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\high-m-stress_n10000_m5_r01.txt","10000","5","lkh3-baseline","150000","300","2026-04-24T06:34:19.8520591Z","2026-04-24T06:37:57.0030400Z","217.150235","False","runner_error",,"217.150235",,"mtsp.exe exited with code .","False",,""
"main","high-m-stress","high-m-stress_n10000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\high-m-stress_n10000_m5_r01.txt","10000","5","lkh-wrapper-v4","150000","300","2026-04-24T06:37:57.0643109Z","2026-04-24T07:17:22.9888941Z","2365.924508","False","runner_error",,"2365.924508",,"mtsp.exe exited with code .","False",,""
"main","high-m-stress","high-m-stress_n10000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\high-m-stress_n10000_m5_r01.txt","10000","5","lkh-wrapper-v7","150000","300","2026-04-24T07:17:23.3444378Z","2026-04-24T07:18:19.3327925Z","55.989169","False","runner_error",,"55.989169",,"mtsp.exe exited with code .","False",,""
"main","mixed","mixed_n10000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\mixed_n10000_m5_r01.txt","10000","5","lkh3-baseline","150000","300","2026-04-24T07:18:19.3984954Z","2026-04-24T09:42:12.1984538Z","8632.800392","False","runner_error",,"8632.800392",,"mtsp.exe exited with code .","False",,""
