"phase","instance_family","instance","node_count","salesman_count","solver","valid","status","objective","gap_pct","time_seconds","step_time_seconds","wall_seconds","winner"
"overflow","clustered-center","clustered-center_n10000_m7_r01.txt","10000","7","lkh3-baseline","False","runner_error",,,"277.073787",,"277.073787","False"
"main","clustered-center","clustered-center_n10000_m5_r01.txt","10000","5","lkh3-baseline","False","runner_error",,,"218.541148",,"218.541148","False"
"main","clustered-center","clustered-center_n10000_m5_r01.txt","10000","5","lkh-wrapper-v4","False","runner_error",,,"98.931637",,"98.931637","False"
"overflow","clustered-center","clustered-center_n10000_m7_r01.txt","10000","7","lkh-wrapper-v4","False","runner_error",,,"176.950563",,"176.950563","False"
"main","clustered-center","clustered-center_n10000_m5_r01.txt","10000","5","lkh-wrapper-v7","False","runner_error",,,"135.959504",,"135.959504","False"
"overflow","clustered-center","clustered-center_n10000_m7_r01.txt","10000","7","lkh-wrapper-v7","False","runner_error",,,"39.309872",,"39.309872","False"
"overflow","clustered-offset-depot","clustered-offset-depot_n10000_m7_r01.txt","10000","7","lkh3-baseline","False","runner_error",,,"296.054188",,"296.054188","False"
"main","clustered-offset-depot","clustered-offset-depot_n10000_m5_r01.txt","10000","5","lkh3-baseline","False","runner_error",,,"220.147851",,"220.147851","False"
"overflow","clustered-offset-depot","clustered-offset-depot_n10000_m7_r01.txt","10000","7","lkh-wrapper-v4","False","runner_error",,,"175.317453",,"175.317453","False"
"main","clustered-offset-depot","clustered-offset-depot_n10000_m5_r01.txt","10000","5","lkh-wrapper-v4","False","runner_error",,,"127.205034",,"127.205034","False"
"overflow","clustered-offset-depot","clustered-offset-depot_n10000_m7_r01.txt","10000","7","lkh-wrapper-v7","False","runner_error",,,"38.315227",,"38.315227","False"
"main","clustered-offset-depot","clustered-offset-depot_n10000_m5_r01.txt","10000","5","lkh-wrapper-v7","False","runner_error",,,"135.841856",,"135.841856","False"
"main","high-m-stress","high-m-stress_n10000_m5_r01.txt","10000","5","lkh3-baseline","False","runner_error",,,"217.150235",,"217.150235","False"
"overflow","high-m-stress","high-m-stress_n10000_m7_r01.txt","10000","7","lkh3-baseline","False","runner_error",,,"275.537765",,"275.537765","False"
"main","high-m-stress","high-m-stress_n10000_m5_r01.txt","10000","5","lkh-wrapper-v4","False","runner_error",,,"2365.924508",,"2365.924508","False"
"overflow","high-m-stress","high-m-stress_n10000_m7_r01.txt","10000","7","lkh-wrapper-v4","False","runner_error",,,"163.699506",,"163.699506","False"
"main","high-m-stress","high-m-stress_n10000_m5_r01.txt","10000","5","lkh-wrapper-v7","False","runner_error",,,"55.989169",,"55.989169","False"
"overflow","high-m-stress","high-m-stress_n10000_m7_r01.txt","10000","7","lkh-wrapper-v7","False","runner_error",,,"121.975993",,"121.975993","False"
"overflow","mixed","mixed_n10000_m7_r01.txt","10000","7","lkh3-baseline","False","runner_error",,,"216.672853",,"216.672853","False"
"main","mixed","mixed_n10000_m5_r01.txt","10000","5","lkh3-baseline","False","runner_error",,,"8632.800392",,"8632.800392","False"
"overflow","mixed","mixed_n10000_m7_r01.txt","10000","7","lkh-wrapper-v4","False","runner_error",,,"123.911472",,"123.911472","False"
"main","mixed","mixed_n10000_m5_r01.txt","10000","5","lkh-wrapper-v4","False","runner_error",,,"166.549686",,"166.549686","False"
"main","mixed","mixed_n10000_m5_r01.txt","10000","5","lkh-wrapper-v7","False","runner_error",,,"22.040065",,"22.040065","False"
"overflow","mixed","mixed_n10000_m7_r01.txt","10000","7","lkh-wrapper-v7","False","runner_error",,,"80.94018",,"80.94018","False"
"main","outliers","outliers_n10000_m5_r01.txt","10000","5","lkh3-baseline","False","wall_timeout",,,"301.888666",,"301.888666","False"
"overflow","outliers","outliers_n10000_m7_r01.txt","10000","7","lkh3-baseline","False","runner_error",,,"216.701887",,"216.701887","False"
"main","outliers","outliers_n10000_m5_r01.txt","10000","5","lkh-wrapper-v4","False","runner_error",,,"182.013954",,"182.013954","False"
"overflow","outliers","outliers_n10000_m7_r01.txt","10000","7","lkh-wrapper-v4","False","runner_error",,,"141.862686",,"141.862686","False"
"overflow","outliers","outliers_n10000_m7_r01.txt","10000","7","lkh-wrapper-v7","False","runner_error",,,"74.619244",,"74.619244","False"
"main","outliers","outliers_n10000_m5_r01.txt","10000","5","lkh-wrapper-v7","False","runner_error",,,"20.344316",,"20.344316","False"
"main","uniform","uniform_n10000_m5_r01.txt","10000","5","lkh3-baseline","False","wall_timeout",,,"301.623153",,"301.623153","False"
"overflow","uniform","uniform_n10000_m7_r01.txt","10000","7","lkh3-baseline","False","runner_error",,,"218.478238",,"218.478238","False"
"overflow","uniform","uniform_n10000_m7_r01.txt","10000","7","lkh-wrapper-v4","False","runner_error",,,"163.727672",,"163.727672","False"
"main","uniform","uniform_n10000_m5_r01.txt","10000","5","lkh-wrapper-v4","False","runner_error",,,"171.755559",,"171.755559","False"
"main","uniform","uniform_n10000_m5_r01.txt","10000","5","lkh-wrapper-v7","False","runner_error",,,"17.051747",,"17.051747","False"
"overflow","uniform","uniform_n10000_m7_r01.txt","10000","7","lkh-wrapper-v7","False","runner_error",,,"135.936782",,"135.936782","False"
"main","clustered-center","clustered-center_n25000_m7_r01.txt","25000","7","lkh3-baseline","False","wall_timeout",,,"300.766558",,"300.766558","False"
"main","clustered-center","clustered-center_n25000_m5_r01.txt","25000","5","lkh3-baseline","False","wall_timeout",,,"301.029282",,"301.029282","False"
"main","clustered-center","clustered-center_n25000_m7_r01.txt","25000","7","lkh-wrapper-v4","False","runner_error",,,"188.982581",,"188.982581","False"
"main","clustered-center","clustered-center_n25000_m5_r01.txt","25000","5","lkh-wrapper-v4","False","runner_error",,,"192.503756",,"192.503756","False"
"main","clustered-center","clustered-center_n25000_m7_r01.txt","25000","7","lkh-wrapper-v7","False","runner_error",,,"54.777931",,"54.777931","False"
"main","clustered-center","clustered-center_n25000_m5_r01.txt","25000","5","lkh-wrapper-v7","False","runner_error",,,"67.439463",,"67.439463","False"
"main","clustered-offset-depot","clustered-offset-depot_n25000_m7_r01.txt","25000","7","lkh3-baseline","False","wall_timeout",,,"301.010575",,"301.010575","False"
"main","clustered-offset-depot","clustered-offset-depot_n25000_m5_r01.txt","25000","5","lkh3-baseline","False","wall_timeout",,,"300.842726",,"300.842726","False"
"main","clustered-offset-depot","clustered-offset-depot_n25000_m7_r01.txt","25000","7","lkh-wrapper-v4","False","runner_error",,,"177.446066",,"177.446066","False"
"main","clustered-offset-depot","clustered-offset-depot_n25000_m5_r01.txt","25000","5","lkh-wrapper-v4","False","runner_error",,,"188.519235",,"188.519235","False"
"main","clustered-offset-depot","clustered-offset-depot_n25000_m5_r01.txt","25000","5","lkh-wrapper-v7","False","runner_error",,,"79.356233",,"79.356233","False"
"main","clustered-offset-depot","clustered-offset-depot_n25000_m7_r01.txt","25000","7","lkh-wrapper-v7","False","runner_error",,,"123.447324",,"123.447324","False"
"main","high-m-stress","high-m-stress_n25000_m5_r01.txt","25000","5","lkh3-baseline","False","wall_timeout",,,"300.936961",,"300.936961","False"
"main","high-m-stress","high-m-stress_n25000_m7_r01.txt","25000","7","lkh3-baseline","False","wall_timeout",,,"300.757938",,"300.757938","False"
"main","high-m-stress","high-m-stress_n25000_m5_r01.txt","25000","5","lkh-wrapper-v4","False","runner_error",,,"215.924587",,"215.924587","False"
"main","high-m-stress","high-m-stress_n25000_m7_r01.txt","25000","7","lkh-wrapper-v4","False","runner_error",,,"997.91715",,"997.91715","False"
"main","high-m-stress","high-m-stress_n25000_m5_r01.txt","25000","5","lkh-wrapper-v7","False","runner_error",,,"76.74113",,"76.74113","False"
"main","high-m-stress","high-m-stress_n25000_m7_r01.txt","25000","7","lkh-wrapper-v7","False","runner_error",,,"56.413643",,"56.413643","False"
"main","mixed","mixed_n25000_m5_r01.txt","25000","5","lkh3-baseline","False","wall_timeout",,,"300.980944",,"300.980944","False"
"main","mixed","mixed_n25000_m7_r01.txt","25000","7","lkh3-baseline","False","wall_timeout",,,"300.74914",,"300.74914","False"
"main","mixed","mixed_n25000_m7_r01.txt","25000","7","lkh-wrapper-v4","False","runner_error",,,"180.729091",,"180.729091","False"
"main","mixed","mixed_n25000_m5_r01.txt","25000","5","lkh-wrapper-v4","False","runner_error",,,"215.347734",,"215.347734","False"
"main","mixed","mixed_n25000_m5_r01.txt","25000","5","lkh-wrapper-v7","False","runner_error",,,"116.59453",,"116.59453","False"
"main","mixed","mixed_n25000_m7_r01.txt","25000","7","lkh-wrapper-v7","False","runner_error",,,"93.092824",,"93.092824","False"
"main","outliers","outliers_n25000_m5_r01.txt","25000","5","lkh3-baseline","False","wall_timeout",,,"301.005643",,"301.005643","False"
"main","outliers","outliers_n25000_m7_r01.txt","25000","7","lkh3-baseline","False","wall_timeout",,,"300.717221",,"300.717221","False"
"main","outliers","outliers_n25000_m5_r01.txt","25000","5","lkh-wrapper-v4","False","runner_error",,,"186.159064",,"186.159064","False"
"main","outliers","outliers_n25000_m7_r01.txt","25000","7","lkh-wrapper-v4","False","runner_error",,,"195.949096",,"195.949096","False"
"main","outliers","outliers_n25000_m5_r01.txt","25000","5","lkh-wrapper-v7","False","runner_error",,,"74.422681",,"74.422681","False"
"main","outliers","outliers_n25000_m7_r01.txt","25000","7","lkh-wrapper-v7","False","runner_error",,,"52.449495",,"52.449495","False"
"main","uniform","uniform_n25000_m7_r01.txt","25000","7","lkh3-baseline","False","wall_timeout",,,"300.876206",,"300.876206","False"
"main","uniform","uniform_n25000_m5_r01.txt","25000","5","lkh3-baseline","False","wall_timeout",,,"300.804301",,"300.804301","False"
"main","uniform","uniform_n25000_m7_r01.txt","25000","7","lkh-wrapper-v4","False","runner_error",,,"177.997814",,"177.997814","False"
"main","uniform","uniform_n25000_m5_r01.txt","25000","5","lkh-wrapper-v4","False","runner_error",,,"184.329889",,"184.329889","False"
"main","uniform","uniform_n25000_m7_r01.txt","25000","7","lkh-wrapper-v7","False","runner_error",,,"53.999032",,"53.999032","False"
"main","uniform","uniform_n25000_m5_r01.txt","25000","5","lkh-wrapper-v7","False","runner_error",,,"42.912558",,"42.912558","False"
"main","clustered-center","clustered-center_n50000_m5_r01.txt","50000","5","lkh3-baseline","False","wall_timeout",,,"300.841897",,"300.841897","False"
"main","clustered-center","clustered-center_n50000_m7_r01.txt","50000","7","lkh3-baseline","False","wall_timeout",,,"300.874554",,"300.874554","False"
"main","clustered-center","clustered-center_n50000_m7_r01.txt","50000","7","lkh-wrapper-v4","False","runner_error",,,"173.875956",,"173.875956","False"
"main","clustered-center","clustered-center_n50000_m5_r01.txt","50000","5","lkh-wrapper-v4","False","runner_error",,,"178.49225",,"178.49225","False"
"main","clustered-center","clustered-center_n50000_m7_r01.txt","50000","7","lkh-wrapper-v7","False","runner_error",,,"139.695846",,"139.695846","False"
"main","clustered-center","clustered-center_n50000_m5_r01.txt","50000","5","lkh-wrapper-v7","False","runner_error",,,"141.057649",,"141.057649","False"
"main","clustered-offset-depot","clustered-offset-depot_n50000_m7_r01.txt","50000","7","lkh3-baseline","False","wall_timeout",,,"300.843744",,"300.843744","False"
"main","clustered-offset-depot","clustered-offset-depot_n50000_m5_r01.txt","50000","5","lkh3-baseline","False","wall_timeout",,,"300.885303",,"300.885303","False"
"main","clustered-offset-depot","clustered-offset-depot_n50000_m5_r01.txt","50000","5","lkh-wrapper-v4","False","runner_error",,,"993.453312",,"993.453312","False"
"main","clustered-offset-depot","clustered-offset-depot_n50000_m7_r01.txt","50000","7","lkh-wrapper-v4","False","runner_error",,,"208.271284",,"208.271284","False"
"main","clustered-offset-depot","clustered-offset-depot_n50000_m5_r01.txt","50000","5","lkh-wrapper-v7","False","runner_error",,,"139.379716",,"139.379716","False"
"main","clustered-offset-depot","clustered-offset-depot_n50000_m7_r01.txt","50000","7","lkh-wrapper-v7","False","runner_error",,,"137.775868",,"137.775868","False"
"main","high-m-stress","high-m-stress_n50000_m7_r01.txt","50000","7","lkh3-baseline","False","wall_timeout",,,"300.929364",,"300.929364","False"
"main","high-m-stress","high-m-stress_n50000_m5_r01.txt","50000","5","lkh3-baseline","False","wall_timeout",,,"300.810526",,"300.810526","False"
"main","high-m-stress","high-m-stress_n50000_m5_r01.txt","50000","5","lkh-wrapper-v4","False","runner_error",,,"196.007542",,"196.007542","False"
"main","high-m-stress","high-m-stress_n50000_m7_r01.txt","50000","7","lkh-wrapper-v4","False","runner_error",,,"190.901348",,"190.901348","False"
"main","high-m-stress","high-m-stress_n50000_m5_r01.txt","50000","5","lkh-wrapper-v7","False","runner_error",,,"139.182578",,"139.182578","False"
"main","high-m-stress","high-m-stress_n50000_m7_r01.txt","50000","7","lkh-wrapper-v7","False","runner_error",,,"139.178812",,"139.178812","False"
"main","mixed","mixed_n50000_m7_r01.txt","50000","7","lkh3-baseline","False","wall_timeout",,,"300.886794",,"300.886794","False"
"main","mixed","mixed_n50000_m5_r01.txt","50000","5","lkh3-baseline","False","wall_timeout",,,"300.818965",,"300.818965","False"
"main","mixed","mixed_n50000_m5_r01.txt","50000","5","lkh-wrapper-v4","False","runner_error",,,"220.471928",,"220.471928","False"
"main","mixed","mixed_n50000_m7_r01.txt","50000","7","lkh-wrapper-v4","False","runner_error",,,"215.175694",,"215.175694","False"
"main","mixed","mixed_n50000_m5_r01.txt","50000","5","lkh-wrapper-v7","False","runner_error",,,"139.601565",,"139.601565","False"
"main","mixed","mixed_n50000_m7_r01.txt","50000","7","lkh-wrapper-v7","False","runner_error",,,"140.839837",,"140.839837","False"
"main","outliers","outliers_n50000_m7_r01.txt","50000","7","lkh3-baseline","False","wall_timeout",,,"300.819806",,"300.819806","False"
"main","outliers","outliers_n50000_m5_r01.txt","50000","5","lkh3-baseline","False","wall_timeout",,,"300.783448",,"300.783448","False"
"main","outliers","outliers_n50000_m7_r01.txt","50000","7","lkh-wrapper-v4","False","runner_error",,,"221.1463",,"221.1463","False"
"main","outliers","outliers_n50000_m5_r01.txt","50000","5","lkh-wrapper-v4","False","runner_error",,,"208.642685",,"208.642685","False"
"main","outliers","outliers_n50000_m5_r01.txt","50000","5","lkh-wrapper-v7","False","runner_error",,,"138.830194",,"138.830194","False"
"main","outliers","outliers_n50000_m7_r01.txt","50000","7","lkh-wrapper-v7","False","runner_error",,,"140.264894",,"140.264894","False"
"main","uniform","uniform_n50000_m5_r01.txt","50000","5","lkh3-baseline","False","wall_timeout",,,"300.796847",,"300.796847","False"
"main","uniform","uniform_n50000_m7_r01.txt","50000","7","lkh3-baseline","False","wall_timeout",,,"300.823674",,"300.823674","False"
"main","uniform","uniform_n50000_m7_r01.txt","50000","7","lkh-wrapper-v4","False","runner_error",,,"211.471155",,"211.471155","False"
