instance_family,node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,avg_step_time_seconds,valid_runs
uniform,25000,5,lkh-wrapper-v21,1,1671487.554637,154.54241,154.541473,1
uniform,25000,5,lkh3-baseline,1,1419561.431546,1608.10167,1608.101527,1
uniform,25000,5,lkh_v21_minsum,1,1592819.234233,88.963523,88.963264,1
uniform,25000,5,lkh_v21_minsum_cap,1,1602522.219161,89.648807,89.648485,1
uniform,25000,5,lkh_v21_minsum_depot2m_plus,1,1569641.333811,193.120642,193.120008,1
uniform,25000,7,lkh-wrapper-v21,1,1789729.435859,150.032923,150.032365,1
uniform,25000,7,lkh3-baseline,1,1419836.180484,1643.414601,1643.414356,1
uniform,25000,7,lkh_v21_minsum,1,1659764.050206,92.480799,92.48059,1
uniform,25000,7,lkh_v21_minsum_cap,1,1669762.892134,91.889857,91.889252,1
uniform,25000,7,lkh_v21_minsum_depot2m_plus,1,1610579.878459,194.977254,194.976647,1
