instance,n,m_target,n_routes,valid,timed_out,time_seconds,capacity,sum,makespan,min_route,range,std,gini,balance_ratio,n_nonempty
uniform_n25000_m5_r01.txt,25000,5,0,False,True,210.02598357200623,50000,,,,,,,,
uniform_n25000_m7_r01.txt,25000,7,0,False,True,750.0443999767303,35720,,,,,,,,
uniform_n50000_m5_r01.txt,50000,5,0,False,True,850.0160534381866,100000,,,,,,,,
uniform_n50000_m7_r01.txt,50000,7,0,False,True,850.0256147384644,71430,,,,,,,,
uniform_n100000_m5_r01.txt,100000,5,0,False,True,1050.0346534252167,200000,,,,,,,,
uniform_n100000_m7_r01.txt,100000,7,0,False,True,1050.0384049415588,142860,,,,,,,,
clustered-center_n25000_m5_r01.txt,25000,5,0,False,True,750.0305206775665,50000,,,,,,,,
clustered-center_n25000_m7_r01.txt,25000,7,8,True,False,712.0489187240601,35720,379947.4407864468,53594.84400091665,38421.44526870896,15173.398732207694,4655.274054058678,0.05427278710201691,1.1284685879706222,8
clustered-center_n50000_m5_r01.txt,50000,5,0,False,True,850.058219909668,100000,,,,,,,,
clustered-center_n50000_m7_r01.txt,50000,7,0,False,True,850.0463318824768,71430,,,,,,,,
clustered-center_n100000_m5_r01.txt,100000,5,0,False,True,1050.0169875621796,200000,,,,,,,,
clustered-center_n100000_m7_r01.txt,100000,7,0,False,True,1050.0332012176514,142860,,,,,,,,
clustered-offset-depot_n25000_m5_r01.txt,25000,5,7,True,False,705.6411283016205,50000,443123.01633397705,89502.60928004663,26128.817697643644,63373.791582402984,21368.356323218053,0.18313448672901414,1.413869832678983,7
clustered-offset-depot_n25000_m7_r01.txt,25000,7,0,False,True,750.0399069786072,35720,,,,,,,,
clustered-offset-depot_n50000_m5_r01.txt,50000,5,0,False,True,850.0399732589722,100000,,,,,,,,
clustered-offset-depot_n50000_m7_r01.txt,50000,7,0,False,True,850.0259029865265,71430,,,,,,,,
clustered-offset-depot_n100000_m5_r01.txt,100000,5,0,False,True,1050.0244863033295,200000,,,,,,,,
clustered-offset-depot_n100000_m7_r01.txt,100000,7,0,False,True,1050.0205428600311,142860,,,,,,,,
