solver,family,m,instance,valid,timed_out,t_actual_s,sum,makespan,min_route,gini,std,n_nonempty,n_routes,error,stdout_tail
alns_minsum,clustered-center,10,clustered-center_n10000_m10_r01.txt,True,False,36.68553590774536,6045.125396633264,690.1726964249156,426.91345362341013,0.06441789795848148,73.52479237223876,10,10,,
filo2,clustered-center,10,clustered-center_n10000_m10_r01.txt,True,False,77.73333787918091,359620.7007410531,36368.48921580017,21436.65101407248,0.06276529163921056,4269.46180763203,11,11,,
alns_minsum,clustered-center,30,clustered-center_n10000_m30_r01.txt,True,False,36.236061334609985,7241.540075959481,515.6174137424387,119.9261626320205,0.19215779082028556,88.24830794200241,29,30,,
filo2,clustered-center,30,clustered-center_n10000_m30_r01.txt,True,False,74.89825105667114,348410.9126099011,12110.536969757884,8598.294573563571,0.05044472408295392,1019.4250005925188,32,32,,
alns_minsum,clustered-center,50,clustered-center_n10000_m50_r01.txt,True,False,35.592952728271484,10348.27969263964,497.52007556059345,61.84087572177021,0.209814623225837,80.77254265413667,49,50,,
filo2,clustered-center,50,clustered-center_n10000_m50_r01.txt,True,False,76.19537353515625,420081.1105699994,9060.80557184476,3262.6141530266627,0.049480659578991816,903.975490632479,52,52,,
alns_minsum,clustered-center,80,clustered-center_n10000_m80_r01.txt,True,False,36.35611891746521,10260.11627061807,398.1893978312396,60.10965093165913,0.23252123085393292,57.993392567836494,77,80,,
filo2,clustered-center,80,clustered-center_n10000_m80_r01.txt,True,False,75.79238247871399,307732.15854091756,4351.618357175963,2219.5613802077,0.04133224716181439,337.0497433528879,81,81,,
alns_minsum,clustered-center,100,clustered-center_n10000_m100_r01.txt,True,False,36.06304860115051,12687.196536881425,467.71128317280863,50.80118578805369,0.25443587759006836,62.78300707030577,93,100,,
filo2,clustered-center,100,clustered-center_n10000_m100_r01.txt,True,False,76.01224327087402,307687.60762346175,3525.4792335210923,2518.7295505517422,0.03911197442441458,211.3879618663361,100,100,,
alns_minsum,clustered-offset-depot,10,clustered-offset-depot_n10000_m10_r01.txt,True,False,37.270342111587524,5462.588749880301,728.8763968920225,450.85844573100894,0.08156613501289935,81.83629232635289,10,10,,
filo2,clustered-offset-depot,10,clustered-offset-depot_n10000_m10_r01.txt,True,False,76.3018958568573,316425.16880191234,32194.667755562612,14763.354585504176,0.07444601389460064,4798.823318250469,11,11,,
alns_minsum,clustered-offset-depot,30,clustered-offset-depot_n10000_m30_r01.txt,True,False,36.05767107009888,8254.960624792033,563.6620629160313,203.0265314598199,0.15133819906764692,86.21387895473778,29,30,,
filo2,clustered-offset-depot,30,clustered-offset-depot_n10000_m30_r01.txt,True,False,76.01216173171997,345809.1233892096,12348.593309405516,7851.43522388618,0.045277753095716924,1018.0198647606155,31,31,,
alns_minsum,clustered-offset-depot,50,clustered-offset-depot_n10000_m50_r01.txt,True,False,36.78803277015686,11627.511249067895,435.5472925178907,180.84564841125317,0.10751901916164167,54.094559900716625,49,50,,
filo2,clustered-offset-depot,50,clustered-offset-depot_n10000_m50_r01.txt,True,False,76.62920212745667,373051.2042091987,8105.544313292324,4327.630856185044,0.03860774483936403,602.1849475378101,51,51,,
alns_minsum,clustered-offset-depot,80,clustered-offset-depot_n10000_m80_r01.txt,True,False,35.98766756057739,17883.61964713158,543.4167465765164,115.85022360866982,0.16390460901986095,77.72059347433972,75,80,,
filo2,clustered-offset-depot,80,clustered-offset-depot_n10000_m80_r01.txt,True,False,74.79955124855042,420235.3579244488,5834.017635123977,3051.5807049990294,0.03519258339947752,414.42827801905366,81,81,,
alns_minsum,clustered-offset-depot,100,clustered-offset-depot_n10000_m100_r01.txt,True,False,36.318674087524414,21926.053369385114,544.4124325747613,134.5334788987901,0.1606327817653416,72.21983902693086,95,100,,
filo2,clustered-offset-depot,100,clustered-offset-depot_n10000_m100_r01.txt,True,False,75.49228715896606,419604.49488434294,4649.646346988383,3630.73766048489,0.031160567472918312,229.4414006887795,100,100,,
alns_minsum,high-m-stress,10,high-m-stress_n10000_m10_r01.txt,True,False,36.850855588912964,221742.3463440785,39741.15824758085,10874.138007682692,0.20752129830972094,8593.003277096868,10,10,,
filo2,high-m-stress,10,high-m-stress_n10000_m10_r01.txt,True,False,76.05228161811829,5143931.108778638,939795.7905991504,236533.9688661089,0.273661513716977,251856.7304730262,11,11,,
alns_minsum,high-m-stress,30,high-m-stress_n10000_m30_r01.txt,True,False,36.04816269874573,266909.1842354096,34272.323262399615,3169.663703345909,0.33919686060230314,6296.759466293908,29,30,,
filo2,high-m-stress,30,high-m-stress_n10000_m30_r01.txt,True,False,76.5882260799408,5228006.017133656,817392.0286344247,69444.3997404399,0.35987630375362173,150349.2862158841,33,33,,
alns_minsum,high-m-stress,50,high-m-stress_n10000_m50_r01.txt,True,False,36.896968364715576,382825.87616045884,28201.745011612544,2873.464929392152,0.29733076259955077,4517.6548339447345,48,50,,
filo2,high-m-stress,50,high-m-stress_n10000_m50_r01.txt,True,False,74.46746730804443,5280181.898004909,462633.8729894662,44113.565161827195,0.3711925351140181,98535.65571276353,51,51,,
alns_minsum,high-m-stress,80,high-m-stress_n10000_m80_r01.txt,True,False,36.00117897987366,465786.97486099054,15937.227764415358,2498.679932754506,0.2849911174247449,3277.938977541244,79,80,,
filo2,high-m-stress,80,high-m-stress_n10000_m80_r01.txt,True,False,74.91017818450928,5313598.857552322,361746.23983764445,23860.30396993975,0.42082319688226466,72690.61182052303,80,80,,
alns_minsum,high-m-stress,100,high-m-stress_n10000_m100_r01.txt,True,False,37.376383781433105,532525.8110589606,23867.219811033905,2186.365124121914,0.2920705757806564,3180.284682480948,97,100,,
filo2,high-m-stress,100,high-m-stress_n10000_m100_r01.txt,True,False,74.81371235847473,5371116.705772123,290333.04370158346,18428.485339716004,0.4365299673037745,57097.120712478216,101,101,,
alns_minsum,mixed,10,mixed_n10000_m10_r01.txt,True,False,36.99335861206055,221926.77325396496,27703.182724884646,11188.337797077398,0.1221322339098998,4971.166913767061,10,10,,
filo2,mixed,10,mixed_n10000_m10_r01.txt,True,False,75.03370690345764,5637250.905485381,2454643.61391877,168190.1518687587,0.4987365606264399,643371.7556604751,12,12,,
alns_minsum,mixed,30,mixed_n10000_m30_r01.txt,True,False,36.9824013710022,327631.83446703147,21034.63792209654,3137.083182820479,0.26652663079925315,5207.134267141767,30,30,,
filo2,mixed,30,mixed_n10000_m30_r01.txt,True,False,75.52058410644531,5658849.47926424,899909.2097968624,21128.98496511894,0.5117562807534513,264877.4793377019,32,32,,
alns_minsum,mixed,50,mixed_n10000_m50_r01.txt,True,False,36.29438662528992,374770.026265899,31805.58049587771,2524.476678716958,0.36770462497809614,5422.990166857162,47,50,,
filo2,mixed,50,mixed_n10000_m50_r01.txt,True,False,75.50071930885315,5699001.749425566,553116.2346426622,20689.527658432773,0.49254408172124053,142441.33040088502,54,54,,
alns_minsum,mixed,80,mixed_n10000_m80_r01.txt,True,False,36.398253202438354,515234.45221701066,25451.994867166508,2341.4139695978847,0.31292503761330226,3948.361164264414,76,80,,
filo2,mixed,80,mixed_n10000_m80_r01.txt,True,False,75.51695442199707,5759787.39492534,362733.1375972715,21448.432061839747,0.4982790836797874,99517.26277536777,83,83,,
