solver,base,n,m,v21_sum_mean,v21_makespan_mean,v21_seeds,v21_time_s_mean,hga_sum,hga_makespan,hga_time_s,delta_sum_pct,delta_makespan_pct
lkh_v21_minsum,berlin52,52,2,7544.365901904088,7544.365901904088,5,13.2397514,8217.940379945308,4110.213095823168,1.0310001373291016,-8.196390420219906,83.55169734558856
lkh_v21_minsum,berlin52,52,3,7544.365901904088,7544.365901904088,5,13.2451324,9138.966359078719,3069.5856949319477,0.2980000972747803,-17.448367731330386,145.77798607676093
lkh_v21_minsum,berlin52,52,5,7544.365901904088,7544.365901904088,5,13.2391132,11875.953511172955,2440.9219569662596,0.23799991607666016,-36.473598563632706,209.07853814714863
lkh_v21_minsum,berlin52,52,7,7544.365901904088,7544.365901904088,5,13.239342400000002,13863.945622161293,2440.9219569662578,0.22799992561340332,-45.58283689569194,209.07853814714886
lkh_v21_minsum,eil51,51,2,428.87175639203394,428.87175639203394,5,13.236506600000002,444.8044865082716,223.06096129062732,0.6679999828338623,-3.581962547480148,92.26661353496753
lkh_v21_minsum,eil51,51,3,428.87175639203394,428.87175639203394,5,13.236079,476.80127072639425,159.5715086178399,0.6059999465942383,-10.052304235964167,168.7646185129108
lkh_v21_minsum,eil51,51,5,428.87175639203394,428.87175639203394,5,13.236758600000002,585.7712050188854,119.8779333330709,0.6150000095367432,-26.78510778313062,257.75704874762005
lkh_v21_minsum,eil51,51,7,428.87175639203394,428.87175639203394,5,13.2496756,685.6444510216975,112.07140580897516,0.5800001621246338,-37.44983194234848,282.6772344794555
lkh_v21_minsum,eil76,76,2,544.3690526708284,544.3690526708284,5,13.244677200000002,567.518529952609,284.4898261770479,0.3989999294281006,-4.079069855871264,91.34921623947585
lkh_v21_minsum,eil76,76,3,544.3690526708285,544.3690526708285,5,13.245814199999998,591.3434310066224,197.17485955439406,0.39300012588500977,-7.943671286891797,176.08441253670833
lkh_v21_minsum,eil76,76,5,544.3690526708285,544.3690526708285,5,13.238951400000001,722.3839980617308,144.82432819767286,0.500999927520752,-24.642703308565007,275.8823254666241
lkh_v21_minsum,eil76,76,7,544.3690526708285,544.3690526708285,5,13.245921,866.9560535161561,127.56174975281579,0.39100003242492676,-37.20915259049126,326.74943995804836
lkh_v21_minsum,rat99,99,2,1219.2437686776964,1219.2437686776964,5,13.2436104,1363.285416642354,684.4618338777938,1.810999870300293,-10.56577340344613,78.13173917530432
lkh_v21_minsum,rat99,99,3,1219.2437686776966,1219.2437686776966,5,13.2494014,1563.721349059414,521.5641374213253,3.133000135421753,-22.029345611283134,133.76679514542198
lkh_v21_minsum,rat99,99,5,1219.2437686776964,1219.2437686776964,5,13.2525838,2245.3228422117772,450.34576547202283,3.2699999809265137,-45.69850955256535,170.7350356452814
lkh_v21_minsum,rat99,99,7,1219.2437686776966,1219.2437686776966,5,13.240099,2999.8497817180823,437.8929461673282,3.0160000324249268,-59.356505912125776,178.43421076981625
lkh_v21_minsum_cap,berlin52,52,2,7596.944142052844,7596.944142052844,5,13.243727799999998,8217.940379945308,4110.213095823168,1.0310001373291016,-7.556592153040145,84.83090693698874
lkh_v21_minsum_cap,berlin52,52,3,7555.18118970418,7555.18118970418,5,13.265796599999998,9138.966359078719,3069.5856949319477,0.2980000972747803,-17.330025159805896,146.13032313051866
lkh_v21_minsum_cap,berlin52,52,5,7576.4246537241315,7576.4246537241315,5,13.2426446,11875.953511172955,2440.9219569662596,0.23799991607666016,-36.2036518028115,210.39192515358488
lkh_v21_minsum_cap,berlin52,52,7,7614.677173247813,7614.677173247813,5,13.241821199999999,13863.945622161293,2440.9219569662578,0.22799992561340332,-45.075684940109156,211.9590592200599
lkh_v21_minsum_cap,eil51,51,2,434.7240629165426,434.7240629165426,5,13.315436,444.8044865082716,223.06096129062732,0.6679999828338623,-2.2662594235190023,94.89024901589046
lkh_v21_minsum_cap,eil51,51,3,433.08904797037013,433.08904797037013,5,13.237063799999998,476.80127072639425,159.5715086178399,0.6059999465942383,-9.167807520611197,171.40750358360108
lkh_v21_minsum_cap,eil51,51,5,435.89769031342075,435.89769031342075,5,13.241240999999999,585.7712050188854,119.8779333330709,0.6150000095367432,-25.585674649308295,263.61795552673993
lkh_v21_minsum_cap,eil51,51,7,435.00016421685433,435.00016421685433,5,13.23781,685.6444510216975,112.07140580897516,0.5800001621246338,-36.55601477286825,288.1455408512576
lkh_v21_minsum_cap,eil76,76,2,555.7698177191369,392.1135536905868,5,13.236979999999999,567.518529952609,284.4898261770479,0.3989999294281006,-2.0701900666491397,37.830431042043976
lkh_v21_minsum_cap,eil76,76,3,555.3468408055634,430.94566076125227,5,13.2421444,591.3434310066224,197.17485955439406,0.39300012588500977,-6.087256290271682,118.56014592081833
lkh_v21_minsum_cap,eil76,76,5,563.2722120948501,563.2722120948501,5,13.2400306,722.3839980617308,144.82432819767286,0.500999927520752,-22.02592892337074,288.93480059926924
lkh_v21_minsum_cap,eil76,76,7,560.5841116830846,560.5841116830846,5,13.2474266,866.9560535161561,127.56174975281579,0.39100003242492676,-35.33880876550821,339.4609769537991
lkh_v21_minsum_cap,rat99,99,2,1249.169014696645,1249.169014696645,5,13.243413199999997,1363.285416642354,684.4618338777938,1.810999870300293,-8.370690433025178,82.50382313057884
lkh_v21_minsum_cap,rat99,99,3,1246.2295646065043,1246.2295646065043,5,13.238898,1563.721349059414,521.5641374213253,3.133000135421753,-20.303603621187538,138.94080807933045
lkh_v21_minsum_cap,rat99,99,5,1266.5144086228026,1266.5144086228026,5,13.2441212,2245.3228422117772,450.34576547202283,3.2699999809265137,-43.59321587023048,181.23155711152862
lkh_v21_minsum_cap,rat99,99,7,1263.0184774508475,1263.0184774508475,5,13.2408412,2999.8497817180823,437.8929461673282,3.0160000324249268,-57.8972758853449,188.43087985441568
lkh_v21_minmax,berlin52,52,2,8217.94037994531,4110.213095823169,5,13.2404112,8217.940379945308,4110.213095823168,1.0310001373291016,2.2134370894011793e-14,2.212767758190358e-14
lkh_v21_minmax,berlin52,52,3,8805.125322152722,3485.5007306610123,5,13.244039,9138.966359078719,3069.5856949319477,0.2980000972747803,-3.652940866713621,13.549549583051641
lkh_v21_minmax,berlin52,52,5,10212.805588652569,2859.6930076259114,5,13.255119200000001,11875.953511172955,2440.9219569662596,0.23799991607666016,-14.004331702340263,17.1562654620932
lkh_v21_minmax,berlin52,52,7,10669.74333824064,3306.5828698523774,5,13.247593,13863.945622161293,2440.9219569662578,0.22799992561340332,-23.039633672644907,35.46450595913445
lkh_v21_minmax,eil51,51,2,444.4260405785486,222.7988885287707,5,13.238727799999998,444.8044865082716,223.06096129062732,0.6679999828338623,-0.08508141019300677,-0.11748929993857553
lkh_v21_minmax,eil51,51,3,473.63980071694476,159.57150861783992,5,13.240546,476.80127072639425,159.5715086178399,0.6059999465942383,-0.6630582180775381,1.7811268237409205e-14
lkh_v21_minmax,eil51,51,5,538.9082013142861,138.07763999009757,5,13.243872999999999,585.7712050188854,119.8779333330709,0.6150000095367432,-8.000223176400157,15.181865545229488
lkh_v21_minmax,eil51,51,7,613.415835477878,182.403508578212,5,13.236293800000002,685.6444510216975,112.07140580897516,0.5800001621246338,-10.534412615195773,62.75650979975872
lkh_v21_minmax,eil76,76,2,565.6131508784778,282.9399208772072,5,13.2459088,567.518529952609,284.4898261770479,0.3989999294281006,-0.3357386540824238,-0.5448016615104339
lkh_v21_minmax,eil76,76,3,590.3832009706957,197.53230419954835,5,13.241783799999999,591.3434310066224,197.17485955439406,0.39300012588500977,-0.16238111147900838,0.18128307328941248
lkh_v21_minmax,eil76,76,5,709.7714786311117,168.96167662570573,5,13.2407612,722.3839980617308,144.82432819767286,0.500999927520752,-1.7459577543883198,16.666639319802304
lkh_v21_minmax,eil76,76,7,733.4889463680765,166.59952001535845,5,13.2605234,866.9560535161561,127.56174975281579,0.39100003242492676,-15.394910342545101,30.60303761761542
lkh_v21_minmax,rat99,99,2,1353.4908319559481,677.1232381499404,5,13.249507599999998,1363.285416642354,684.4618338777938,1.810999870300293,-0.7184544459170572,-1.0721701875291962
lkh_v21_minmax,rat99,99,3,1563.8985496423418,569.0991858809418,5,13.2399642,1563.721349059414,521.5641374213253,3.133000135421753,0.011331979513763128,9.11394113380483
lkh_v21_minmax,rat99,99,5,1614.5012349516874,520.587169970681,5,13.241762,2245.3228422117772,450.34576547202283,3.2699999809265137,-28.09491781763966,15.597216602011505
lkh_v21_minmax,rat99,99,7,2317.2383992911828,485.1608902760495,5,13.241810600000003,2999.8497817180823,437.8929461673282,3.0160000324249268,-22.754852145828195,10.794406377731235
