family,n,m,instance,valid,minsum,makespan,gini,time_s,alns_iters,error
clustered-center,10000,10,clustered-center_n10000_m10_r01.txt,True,5913.891724,679.99832,0.0,36.179001,1364,
clustered-center,10000,30,clustered-center_n10000_m30_r01.txt,True,7201.072583,469.84195,0.0,35.540351,2474,
clustered-center,10000,50,clustered-center_n10000_m50_r01.txt,True,10610.769445,447.701356,0.0,35.928728,2741,
clustered-center,10000,80,clustered-center_n10000_m80_r01.txt,True,10484.340078,408.794872,0.0,38.273988,3291,
clustered-center,10000,100,clustered-center_n10000_m100_r01.txt,True,12123.722487,514.747089,0.0,35.791423,3407,
clustered-offset-depot,10000,10,clustered-offset-depot_n10000_m10_r01.txt,True,5467.388895,714.79749,0.0,36.524278,1586,
clustered-offset-depot,10000,30,clustered-offset-depot_n10000_m30_r01.txt,True,8275.100515,499.080655,0.0,35.289563,2704,
clustered-offset-depot,10000,50,clustered-offset-depot_n10000_m50_r01.txt,True,11216.717708,357.721827,0.0,35.502624,3901,
clustered-offset-depot,10000,80,clustered-offset-depot_n10000_m80_r01.txt,True,18022.771814,557.826214,0.0,35.763629,3695,
clustered-offset-depot,10000,100,clustered-offset-depot_n10000_m100_r01.txt,True,21564.008464,495.315777,0.0,35.849912,3601,
mixed-outliers,10000,10,mixed-outliers_n10000_m10_r01.txt,True,6703.738407,915.947526,0.0,36.71536,1458,
mixed-outliers,10000,30,mixed-outliers_n10000_m30_r01.txt,True,10023.652009,760.241697,0.0,35.556687,1649,
mixed-outliers,10000,50,mixed-outliers_n10000_m50_r01.txt,True,13897.952536,423.742545,0.0,36.102151,1983,
mixed-outliers,10000,80,mixed-outliers_n10000_m80_r01.txt,True,18686.47203,680.265689,0.0,35.726688,1318,
mixed-outliers,10000,100,mixed-outliers_n10000_m100_r01.txt,True,17549.78387,609.326044,0.0,35.890237,2527,
