instance,n,m,n_seeds,mean_obj,std_obj,cv_obj_pct,ci_lo,ci_hi,mean_gini,mean_makespan
clustered-center_n100000_m5_r01,100000,5,3,3063777.2260466604,16915.24900008793,0.5521044042067801,3039989.4742868235,3077860.992965366,0.012394032424109963,636045.9762502594
clustered-center_n100000_m7_r01,100000,7,3,2676233.184989834,9006.654537001217,0.3365422186495841,2663696.355174361,2684451.1287013385,0.014186316725198725,395713.75514682755
clustered-center_n25000_m5_r01,25000,5,3,354174.8243505932,825.4949378255006,0.23307555508472663,353269.2242495545,355265.6519720782,0.05330701820259119,78697.81329093954
clustered-center_n25000_m7_r01,25000,7,3,425546.2625197877,1199.7735605080268,0.28193728066222595,423906.6020273552,426744.00809634686,0.04311379397790084,66688.7899849441
clustered-center_n50000_m5_r01,50000,5,3,1140639.8319518373,846.5742257289187,0.07421924099216137,1139778.0739721982,1141790.4760199282,0.007593341206929741,232714.51849850855
clustered-center_n50000_m7_r01,50000,7,3,1070455.6766890977,1363.0122327512884,0.1273300952513105,1069348.3633194035,1072375.750713529,0.0077670343415345575,156212.850384354
clustered-offset-depot_n100000_m5_r01,100000,5,2,2882554.1090530027,709.3984374704305,0.024610064915780095,2881844.710615532,2883263.507490473,0.0064967228514686975,585749.9543743627
clustered-offset-depot_n25000_m5_r01,25000,5,3,432918.56731216086,638.7902784583163,0.14755437319871506,432339.5383936994,433808.60126605286,0.01007072236030893,89628.35102249774
clustered-offset-depot_n25000_m7_r01,25000,7,3,400259.59145766974,536.5668911004685,0.13405472412201125,399515.2578699496,400759.553695821,0.029159047074179465,61770.812157308625
clustered-offset-depot_n50000_m5_r01,50000,5,3,943254.0671721365,1066.3962814125439,0.11305504195805761,942130.9902039563,944687.2851478824,0.019556391094688697,198967.26425572252
clustered-offset-depot_n50000_m7_r01,50000,7,3,1049467.565858291,329.8659142211877,0.031431739765241044,1049089.1021210237,1049892.9992970459,0.02330019141421328,160222.1911642126
uniform_n100000_m5_r01,100000,5,3,12903823.468287418,10126.192631118907,0.07847435805368194,12895161.292796576,12918030.521941459,0.011381102147609474,2648121.381057128
uniform_n100000_m7_r01,100000,7,3,12954254.232742777,8926.181407046308,0.06890540548821995,12945677.284614958,12966564.055968566,0.022632734251328522,1975158.2409877025
uniform_n25000_m5_r01,25000,5,3,1618723.4047898117,4479.10083917786,0.2767057562721448,1612648.3583834283,1623314.5929702434,0.020514578245169827,345058.8909363927
uniform_n25000_m7_r01,25000,7,3,1688118.9074497777,14744.424237926412,0.8734233218322665,1671704.5458442345,1707462.677450943,0.04287083814911074,265184.47759173147
uniform_n50000_m5_r01,50000,5,3,4545822.764351589,3043.1013166935677,0.06694280605389226,4543668.254567707,4550126.35836533,0.016660679663249228,943331.0801212635
uniform_n50000_m7_r01,50000,7,3,4872623.866302502,10893.905063335527,0.2235736917572125,4857239.465319687,4881027.337553469,0.01706966417289725,735495.1209116855
