base,n,m,instance_filename,solver,seed,time_seconds,valid,objective,sum,makespan,min_route,range,std,gini,balance_ratio,n_nonempty
eil51,51,2,eil51_m2.txt,lkh_v21_minsum,1,13.236173,True,428.87175639203394,428.87175639203394,428.87175639203394,0.0,428.87175639203394,214.43587819601697,0.5,2.0,1
eil51,51,2,eil51_m2.txt,lkh_v21_minsum,2,13.235576,True,428.87175639203394,428.87175639203394,428.87175639203394,0.0,428.87175639203394,214.43587819601697,0.5,2.0,1
eil51,51,2,eil51_m2.txt,lkh_v21_minsum,3,13.237557,True,428.87175639203394,428.87175639203394,428.87175639203394,0.0,428.87175639203394,214.43587819601697,0.5,2.0,1
eil51,51,2,eil51_m2.txt,lkh_v21_minsum,4,13.235915,True,428.87175639203394,428.87175639203394,428.87175639203394,0.0,428.87175639203394,214.43587819601697,0.5,2.0,1
eil51,51,2,eil51_m2.txt,lkh_v21_minsum,5,13.237312,True,428.87175639203394,428.87175639203394,428.87175639203394,0.0,428.87175639203394,214.43587819601697,0.5,2.0,1
eil51,51,2,eil51_m2.txt,lkh_v21_minsum_cap,1,13.24648,True,436.23687773135657,436.23687773135657,436.23687773135657,0.0,436.23687773135657,218.11843886567829,0.5,2.0,1
eil51,51,2,eil51_m2.txt,lkh_v21_minsum_cap,2,13.296101,True,437.5399301461789,437.5399301461789,437.5399301461789,0.0,437.5399301461789,218.76996507308945,0.5,2.0,1
eil51,51,2,eil51_m2.txt,lkh_v21_minsum_cap,3,13.535213,True,434.92003401195177,434.92003401195177,434.92003401195177,0.0,434.92003401195177,217.46001700597589,0.5,2.0,1
eil51,51,2,eil51_m2.txt,lkh_v21_minsum_cap,4,13.253699,True,431.17052105647684,431.17052105647684,431.17052105647684,0.0,431.17052105647684,215.58526052823842,0.5,2.0,1
eil51,51,2,eil51_m2.txt,lkh_v21_minsum_cap,5,13.245687,True,433.75295163674923,433.75295163674923,433.75295163674923,0.0,433.75295163674923,216.87647581837462,0.5,2.0,1
eil51,51,2,eil51_m2.txt,2opt+greed,1,8.8e-05,True,521.8842564281567,521.8842564281567,269.70984648321524,252.17440994494143,17.535436538273814,8.767718269136907,0.016800120258741474,1.033600240517483,2
eil51,51,2,eil51_m2.txt,2opt+greed,2,6.5e-05,True,521.8842564281567,521.8842564281567,269.70984648321524,252.17440994494143,17.535436538273814,8.767718269136907,0.016800120258741474,1.033600240517483,2
eil51,51,2,eil51_m2.txt,2opt+greed,3,8e-05,True,521.8842564281567,521.8842564281567,269.70984648321524,252.17440994494143,17.535436538273814,8.767718269136907,0.016800120258741474,1.033600240517483,2
eil51,51,2,eil51_m2.txt,2opt+greed,4,7.9e-05,True,521.8842564281567,521.8842564281567,269.70984648321524,252.17440994494143,17.535436538273814,8.767718269136907,0.016800120258741474,1.033600240517483,2
eil51,51,2,eil51_m2.txt,2opt+greed,5,0.000132,True,521.8842564281567,521.8842564281567,269.70984648321524,252.17440994494143,17.535436538273814,8.767718269136907,0.016800120258741474,1.033600240517483,2
eil51,51,3,eil51_m3.txt,lkh_v21_minsum,1,13.240449,True,428.87175639203394,428.87175639203394,428.87175639203394,0.0,428.87175639203394,202.17208480279484,0.6666666666666667,3.0,1
eil51,51,3,eil51_m3.txt,lkh_v21_minsum,2,13.234759,True,428.87175639203394,428.87175639203394,428.87175639203394,0.0,428.87175639203394,202.17208480279484,0.6666666666666667,3.0,1
eil51,51,3,eil51_m3.txt,lkh_v21_minsum,3,13.234245,True,428.87175639203394,428.87175639203394,428.87175639203394,0.0,428.87175639203394,202.17208480279484,0.6666666666666667,3.0,1
eil51,51,3,eil51_m3.txt,lkh_v21_minsum,4,13.238022,True,428.87175639203394,428.87175639203394,428.87175639203394,0.0,428.87175639203394,202.17208480279484,0.6666666666666667,3.0,1
eil51,51,3,eil51_m3.txt,lkh_v21_minsum,5,13.23292,True,428.87175639203394,428.87175639203394,428.87175639203394,0.0,428.87175639203394,202.17208480279484,0.6666666666666667,3.0,1
eil51,51,3,eil51_m3.txt,lkh_v21_minsum_cap,1,13.233422,True,436.74785635804005,436.74785635804005,436.74785635804005,0.0,436.74785635804005,205.8849139329722,0.6666666666666666,3.0,1
eil51,51,3,eil51_m3.txt,lkh_v21_minsum_cap,2,13.2342,True,431.8534158498429,431.8534158498429,431.8534158498429,0.0,431.8534158498429,203.57765255066533,0.6666666666666666,3.0,1
eil51,51,3,eil51_m3.txt,lkh_v21_minsum_cap,3,13.245933,True,431.2376001573755,431.2376001573755,431.2376001573755,0.0,431.2376001573755,203.2873542492621,0.6666666666666666,3.0,1
eil51,51,3,eil51_m3.txt,lkh_v21_minsum_cap,4,13.233421,True,433.75295163674923,433.75295163674923,433.75295163674923,0.0,433.75295163674923,204.4731023080173,0.6666666666666666,3.0,1
eil51,51,3,eil51_m3.txt,lkh_v21_minsum_cap,5,13.238343,True,431.8534158498429,431.8534158498429,431.8534158498429,0.0,431.8534158498429,203.57765255066533,0.6666666666666666,3.0,1
eil51,51,3,eil51_m3.txt,2opt+greed,1,8.2e-05,True,666.2886330995659,666.2886330995659,251.39323678634628,198.03488794945167,53.358348836894606,22.095818374854954,0.05338862287421621,1.1319114163040795,3
eil51,51,3,eil51_m3.txt,2opt+greed,2,4.4e-05,True,666.2886330995659,666.2886330995659,251.39323678634628,198.03488794945167,53.358348836894606,22.095818374854954,0.05338862287421621,1.1319114163040795,3
eil51,51,3,eil51_m3.txt,2opt+greed,3,6.5e-05,True,666.2886330995659,666.2886330995659,251.39323678634628,198.03488794945167,53.358348836894606,22.095818374854954,0.05338862287421621,1.1319114163040795,3
eil51,51,3,eil51_m3.txt,2opt+greed,4,7.2e-05,True,666.2886330995659,666.2886330995659,251.39323678634628,198.03488794945167,53.358348836894606,22.095818374854954,0.05338862287421621,1.1319114163040795,3
eil51,51,3,eil51_m3.txt,2opt+greed,5,8.8e-05,True,666.2886330995659,666.2886330995659,251.39323678634628,198.03488794945167,53.358348836894606,22.095818374854954,0.05338862287421621,1.1319114163040795,3
eil51,51,5,eil51_m5.txt,lkh_v21_minsum,1,13.237747,True,428.87175639203394,428.87175639203394,428.87175639203394,0.0,428.87175639203394,171.54870255681357,0.8000000000000003,5.0,1
eil51,51,5,eil51_m5.txt,lkh_v21_minsum,2,13.233788,True,428.87175639203394,428.87175639203394,428.87175639203394,0.0,428.87175639203394,171.54870255681357,0.8000000000000003,5.0,1
eil51,51,5,eil51_m5.txt,lkh_v21_minsum,3,13.236876,True,428.87175639203394,428.87175639203394,428.87175639203394,0.0,428.87175639203394,171.54870255681357,0.8000000000000003,5.0,1
eil51,51,5,eil51_m5.txt,lkh_v21_minsum,4,13.238023,True,428.87175639203394,428.87175639203394,428.87175639203394,0.0,428.87175639203394,171.54870255681357,0.8000000000000003,5.0,1
eil51,51,5,eil51_m5.txt,lkh_v21_minsum,5,13.237359,True,428.87175639203394,428.87175639203394,428.87175639203394,0.0,428.87175639203394,171.54870255681357,0.8000000000000003,5.0,1
eil51,51,5,eil51_m5.txt,lkh_v21_minsum_cap,1,13.24802,True,437.0846928917361,437.0846928917361,437.0846928917361,0.0,437.0846928917361,174.83387715669443,0.8000000000000002,5.0,1
eil51,51,5,eil51_m5.txt,lkh_v21_minsum_cap,2,13.237822,True,435.1313306628181,435.1313306628181,435.1313306628181,0.0,435.1313306628181,174.05253226512724,0.8,5.0,1
eil51,51,5,eil51_m5.txt,lkh_v21_minsum_cap,3,13.237075,True,433.7753544820277,433.7753544820277,433.7753544820277,0.0,433.7753544820277,173.51014179281108,0.7999999999999998,5.0,1
eil51,51,5,eil51_m5.txt,lkh_v21_minsum_cap,4,13.243245,True,438.0715455954045,438.0715455954045,438.0715455954045,0.0,438.0715455954045,175.2286182381618,0.8,5.0,1
eil51,51,5,eil51_m5.txt,lkh_v21_minsum_cap,5,13.240043,True,435.4255279351171,435.4255279351171,435.4255279351171,0.0,435.4255279351171,174.17021117404684,0.8000000000000002,5.0,1
eil51,51,5,eil51_m5.txt,2opt+greed,1,6.2e-05,True,732.7014304573686,732.7014304573686,214.16072534363772,110.2219847204917,103.93874062314602,37.61242952574639,0.1341797290148025,1.4614460709456636,5
eil51,51,5,eil51_m5.txt,2opt+greed,2,4.8e-05,True,732.7014304573686,732.7014304573686,214.16072534363772,110.2219847204917,103.93874062314602,37.61242952574639,0.1341797290148025,1.4614460709456636,5
eil51,51,5,eil51_m5.txt,2opt+greed,3,4.3e-05,True,732.7014304573686,732.7014304573686,214.16072534363772,110.2219847204917,103.93874062314602,37.61242952574639,0.1341797290148025,1.4614460709456636,5
eil51,51,5,eil51_m5.txt,2opt+greed,4,4.4e-05,True,732.7014304573686,732.7014304573686,214.16072534363772,110.2219847204917,103.93874062314602,37.61242952574639,0.1341797290148025,1.4614460709456636,5
eil51,51,5,eil51_m5.txt,2opt+greed,5,9.2e-05,True,732.7014304573686,732.7014304573686,214.16072534363772,110.2219847204917,103.93874062314602,37.61242952574639,0.1341797290148025,1.4614460709456636,5
eil51,51,7,eil51_m7.txt,lkh_v21_minsum,1,13.253976,True,428.87175639203394,428.87175639203394,428.87175639203394,0.0,428.87175639203394,150.0738526073847,0.8571428571428571,7.0,1
eil51,51,7,eil51_m7.txt,lkh_v21_minsum,2,13.259225,True,428.87175639203394,428.87175639203394,428.87175639203394,0.0,428.87175639203394,150.0738526073847,0.8571428571428571,7.0,1
eil51,51,7,eil51_m7.txt,lkh_v21_minsum,3,13.249071,True,428.87175639203394,428.87175639203394,428.87175639203394,0.0,428.87175639203394,150.0738526073847,0.8571428571428571,7.0,1
eil51,51,7,eil51_m7.txt,lkh_v21_minsum,4,13.248597,True,428.87175639203394,428.87175639203394,428.87175639203394,0.0,428.87175639203394,150.0738526073847,0.8571428571428571,7.0,1
eil51,51,7,eil51_m7.txt,lkh_v21_minsum,5,13.237509,True,428.87175639203394,428.87175639203394,428.87175639203394,0.0,428.87175639203394,150.0738526073847,0.8571428571428571,7.0,1
eil51,51,7,eil51_m7.txt,lkh_v21_minsum_cap,1,13.240958,True,432.5745118660963,432.5745118660963,432.5745118660963,0.0,432.5745118660963,151.36954711506328,0.8571428571428569,7.0,1
eil51,51,7,eil51_m7.txt,lkh_v21_minsum_cap,2,13.240058,True,435.31357540662367,435.31357540662367,435.31357540662367,0.0,435.31357540662367,152.3280196932566,0.8571428571428571,7.0,1
eil51,51,7,eil51_m7.txt,lkh_v21_minsum_cap,3,13.237585,True,437.82174016594297,437.82174016594297,437.82174016594297,0.0,437.82174016594297,153.20569452913702,0.8571428571428572,7.0,1
eil51,51,7,eil51_m7.txt,lkh_v21_minsum_cap,4,13.234241,True,432.6242214848168,432.6242214848168,432.6242214848168,0.0,432.6242214848168,151.38694185808808,0.8571428571428571,7.0,1
eil51,51,7,eil51_m7.txt,lkh_v21_minsum_cap,5,13.236208,True,436.6667721607914,436.6667721607914,436.6667721607914,0.0,436.6667721607914,152.8015399174425,0.8571428571428571,7.0,1
eil51,51,7,eil51_m7.txt,2opt+greed,1,8.5e-05,True,722.2113234537389,722.2113234537389,130.67329763390646,80.15262880683855,50.52066882706791,17.635064255398884,0.09666077176734646,1.2665449207622912,7
eil51,51,7,eil51_m7.txt,2opt+greed,2,8.5e-05,True,722.2113234537389,722.2113234537389,130.67329763390646,80.15262880683855,50.52066882706791,17.635064255398884,0.09666077176734646,1.2665449207622912,7
eil51,51,7,eil51_m7.txt,2opt+greed,3,7.2e-05,True,722.2113234537389,722.2113234537389,130.67329763390646,80.15262880683855,50.52066882706791,17.635064255398884,0.09666077176734646,1.2665449207622912,7
eil51,51,7,eil51_m7.txt,2opt+greed,4,0.000102,True,722.2113234537389,722.2113234537389,130.67329763390646,80.15262880683855,50.52066882706791,17.635064255398884,0.09666077176734646,1.2665449207622912,7
eil51,51,7,eil51_m7.txt,2opt+greed,5,7.1e-05,True,722.2113234537389,722.2113234537389,130.67329763390646,80.15262880683855,50.52066882706791,17.635064255398884,0.09666077176734646,1.2665449207622912,7
berlin52,52,2,berlin52_m2.txt,lkh_v21_minsum,1,13.235118,True,7544.36590190409,7544.36590190409,7544.36590190409,0.0,7544.36590190409,3772.182950952045,0.5,2.0,1
berlin52,52,2,berlin52_m2.txt,lkh_v21_minsum,2,13.239211,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,3772.1829509520435,0.5,2.0,1
berlin52,52,2,berlin52_m2.txt,lkh_v21_minsum,3,13.236682,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,3772.1829509520435,0.5,2.0,1
berlin52,52,2,berlin52_m2.txt,lkh_v21_minsum,4,13.250108,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,3772.1829509520435,0.5,2.0,1
berlin52,52,2,berlin52_m2.txt,lkh_v21_minsum,5,13.237638,True,7544.36590190409,7544.36590190409,7544.36590190409,0.0,7544.36590190409,3772.182950952045,0.5,2.0,1
berlin52,52,2,berlin52_m2.txt,lkh_v21_minsum_cap,1,13.247001,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,3772.1829509520435,0.5,2.0,1
berlin52,52,2,berlin52_m2.txt,lkh_v21_minsum_cap,2,13.253191,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,3772.1829509520435,0.5,2.0,1
berlin52,52,2,berlin52_m2.txt,lkh_v21_minsum_cap,3,13.242746,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,3772.1829509520435,0.5,2.0,1
berlin52,52,2,berlin52_m2.txt,lkh_v21_minsum_cap,4,13.239594,True,7672.72265134481,7672.72265134481,7672.72265134481,0.0,7672.72265134481,3836.361325672405,0.5,2.0,1
berlin52,52,2,berlin52_m2.txt,lkh_v21_minsum_cap,5,13.236107,True,7678.900353207149,7678.900353207149,7678.900353207149,0.0,7678.900353207149,3839.4501766035746,0.5,2.0,1
berlin52,52,2,berlin52_m2.txt,2opt+greed,1,8.1e-05,True,9661.431209664974,9661.431209664974,6006.32953098162,3655.101678683354,2351.2278522982665,1175.6139261491332,0.12168113612122894,1.243362272242458,2
berlin52,52,2,berlin52_m2.txt,2opt+greed,2,8.9e-05,True,9661.431209664974,9661.431209664974,6006.32953098162,3655.101678683354,2351.2278522982665,1175.6139261491332,0.12168113612122894,1.243362272242458,2
berlin52,52,2,berlin52_m2.txt,2opt+greed,3,9.9e-05,True,9661.431209664974,9661.431209664974,6006.32953098162,3655.101678683354,2351.2278522982665,1175.6139261491332,0.12168113612122894,1.243362272242458,2
berlin52,52,2,berlin52_m2.txt,2opt+greed,4,5.8e-05,True,9661.431209664974,9661.431209664974,6006.32953098162,3655.101678683354,2351.2278522982665,1175.6139261491332,0.12168113612122894,1.243362272242458,2
berlin52,52,2,berlin52_m2.txt,2opt+greed,5,6.3e-05,True,9661.431209664974,9661.431209664974,6006.32953098162,3655.101678683354,2351.2278522982665,1175.6139261491332,0.12168113612122894,1.243362272242458,2
berlin52,52,3,berlin52_m3.txt,lkh_v21_minsum,1,13.234552,True,7544.365901904087,7544.365901904087,7544.365901904087,0.0,7544.365901904087,3556.4481926592957,0.6666666666666666,3.0,1
berlin52,52,3,berlin52_m3.txt,lkh_v21_minsum,2,13.236283,True,7544.36590190409,7544.36590190409,7544.36590190409,0.0,7544.36590190409,3556.448192659297,0.6666666666666666,3.0,1
