instance,budget_s,valid,minsum,makespan,t_actual_s,alns_iters,alns_accepts,error
uniform_n100000_m5_r01.txt,50,True,14210024.487735,2950106.301267,55.490131,0,0,
uniform_n100000_m5_r01.txt,150,True,12651111.091921,5134762.671123,147.737524,136,103,
uniform_n100000_m5_r01.txt,350,True,12153309.163059,12153309.163059,343.366987,383,304,
uniform_n100000_m5_r01.txt,1000,True,12025294.727831,12025294.727831,833.523189,1143,905,
clustered-center_n100000_m5_r01.txt,50,True,3133910.205387,768557.181616,49.256682,59,38,
clustered-center_n100000_m5_r01.txt,150,True,2912684.034503,1542113.394401,147.291033,229,165,
clustered-center_n100000_m5_r01.txt,350,True,2783285.440553,2783285.440553,340.159537,476,362,
clustered-center_n100000_m5_r01.txt,1000,True,2726469.737931,2726469.737931,848.231715,1073,883,
clustered-offset-depot_n100000_m5_r01.txt,50,True,2929678.544937,593245.704333,49.225962,43,31,
clustered-offset-depot_n100000_m5_r01.txt,150,True,2674805.300176,2674805.300176,147.291912,149,101,
clustered-offset-depot_n100000_m5_r01.txt,350,True,2470856.548458,2470856.548458,339.453726,470,358,
clustered-offset-depot_n100000_m5_r01.txt,1000,True,2440587.214958,2440587.214958,817.958322,1190,993,
